Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.32398753894080995	104
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.1411042944785276	46
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.05603448275862069	26
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.03903903903903904	26
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.03819444444444445	11
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.03777335984095427	19
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.025210084033613446	12
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.02481389578163772	10
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.022099447513812154	4
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.018691588785046728	6
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.017543859649122806	9
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.016233766233766232	5
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.015486725663716814	7
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.013024602026049204	9
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.012658227848101266	2
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.012315270935960592	5
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.011764705882352941	5
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.011320754716981131	3
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.011204481792717087	4
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.0111731843575419	4
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.009985734664764621	7
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.009174311926605505	6
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.00782472613458529	5
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.007782101167315175	2
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.006696428571428571	3
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.005763688760806916	2
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.005361930294906166	2
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.0038535645472061657	2
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.0035714285714285713	1
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.0025575447570332483	1
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.0020920502092050207	1
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.001996007984031936	1
