Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.32398753894080995	104	34328086|32673993|37169100|39684359|39387954|40146260|39063043|34807366|31936877|32896404|39592167|37172749|39795121|32050243|34157463|34793751|37419350|36138112|38570398|33234769|32479922|38750902|37816501|33678013|38969127|35093362|34924125|38834354|37353012|34139498|37254481|31984540|34602552|32358780|39327242|39103039|32882758|36757645|38792973|38057117|36791443|31982687|40276184|39730940|36656233|36958653|36433812|31985831|37316263|32322101|36748091|32615883|32617835|32800787|38418161|32094057|37794629|37045554|39437457|32679375|36833369|37373019|35453005|31931882|39044030|36600619|32080766|35585779|34510275|36947330|34049752|36424024|37633627|32583113|34854245|35972865|37840054|33820460|32295429|37721555|36982971|33962297|34680089|32418728|32000276|36242746|38980754|39095012|40128405|38275026|38113643|34553727|34191301|39601986|32723104|39089684|34157367|32684518|33004778|31973074|32208749|32777255|34269831|34137455
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.1411042944785276	46	32295420|36098621|34370644|36622071|35658250|39482824|36574346|32592197|34401905|36172956|33886622|34843076|39217686|39661802|33247192|40081613|39510245|33632781|37813014|34304363|33322104|33285393|34843981|36597690|34644796|32031029|39884560|31928220|38015194|32808658|37134015|32705205|37028470|34275833|33777003|38180328|34069822|39257907|34883315|38829816|35105633|36478376|37597523|34405222|37924473|38159794
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.05603448275862069	26	38516233|39216522|37847388|34675486|35085482|33933169|39572070|38968498|33769395|33130641|39344664|32443369|31978261|32527316|36269706|34280980|37414600|35171142|32011404|39921848|33373464|38643357|38321129|35748410|34407645|38217614
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.03903903903903904	26	36316825|32000187|38725011|32163508|34812662|32604398|32410688|37278013|32598462|38804758|33285687|35349712|32159596|37919692|38782445|33217351|35728558|39342298|38901607|32045311|33272062|33849080|37086835|40086842|32490788|39705742
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.03819444444444445	11	35025078|33641442|39947595|36760186|31941266|37089810|36247862|34975221|33049117|35691609|35599027
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.03777335984095427	19	35038171|33248860|38347266|32796319|38678696|34173263|35758581|32988403|37406757|33641805|32406326|33646004|37451522|33227585|37977373|36081265|35460083|36928252|32600761
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.025210084033613446	12	32251312|35234429|33217958|33513963|35386711|34029774|39838308|37712897|34572597|35876951|33217190|34605579
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.02481389578163772	10	33254255|34882311|38168507|33143215|32763956|35084308|39998560|33140463|33468245|33196874
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.022099447513812154	4	36586521|31928628|32971092|33013933
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.018691588785046728	6	39665963|36788192|35139129|39094904|37097555|35390421
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.017543859649122806	9	33892819|40261882|33307116|38448184|39191212|37937499|34537372|33160093|39038540
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.016233766233766232	5	37750475|35843503|33141040|32024563|38540794
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.015486725663716814	7	32915495|32696348|34382945|40073745|39875939|39340691|33052479
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.013024602026049204	9	32963342|38750392|35678735|34238316|32124117|32959429|37258443|38459740|32169744
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.012658227848101266	2	37355769|38224336
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.012315270935960592	5	35675163|34920791|33606706|33142910|34295835
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.011764705882352941	5	36508130|35995254|32131611|35388589|36812283
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.011320754716981131	3	32464310|36761187|33689478
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.011204481792717087	4	38925287|35265214|36841952|33759010
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.0111731843575419	4	32901495|32955658|39181573|34499283
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.009985734664764621	7	39488918|35229890|32238633|34543829|36127806|38752873|34411809
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.009174311926605505	6	36653292|33189275|34104240|39546485|33641810|37079955
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.00782472613458529	5	32800807|34911942|38771448|32679186|39907374
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.007782101167315175	2	39840454|37980449
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.006696428571428571	3	32758897|32705604|32700336
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.005763688760806916	2	35076833|32392374
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1	37312722
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.005361930294906166	2	35503238|32392007
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.0038535645472061657	2	32985762|32054946
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.0035714285714285713	1	35533535
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.0025575447570332483	1	39102873
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.0020920502092050207	1	32088417
COPD Treatment Cluster 10: Topical Anti-Inflammatory Therapies for COX-Targeted COPD Management	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.001996007984031936	1	34453368
