Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.32441471571906355	97
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.13963963963963963	93
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.11058823529411765	47
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.09429280397022333	38
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.06134094151212553	43
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.040948275862068964	19
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.03314917127071823	6
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.027829313543599257	15
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.024553571428571428	11
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.023054755043227664	8
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.0223463687150838	8
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.021956087824351298	11
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.018691588785046728	6
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.018691588785046728	6
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.017543859649122806	9
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.014778325123152709	6
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.014705882352941176	7
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.011673151750972763	3
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.011204481792717087	4
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.010752688172043012	2
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.009940357852882704	5
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.007707129094412331	4
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.00764525993883792	5
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.007547169811320755	2
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.00723589001447178	5
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.00663716814159292	3
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.006493506493506494	2
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.005115089514066497	2
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.004887585532746823	5
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.003472222222222222	1
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.003067484662576687	1
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.0023094688221709007	2
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.002207505518763797	1
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.001953125	1
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.001564945226917058	1
