Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.32441471571906355	97	38521924|33007415|33610156|32687015|33130388|35903826|36292758|33861790|36555597|34557936|34692850|37851077|33686279|36243888|35256729|35711422|32135533|36511097|35896334|32421186|37715081|37843093|34489011|36645550|36063279|35266034|33709168|37582998|36795280|33930048|34504225|39480594|38029835|34791777|35273620|33004779|38385576|34357455|32881668|34643255|33902919|36580770|37125695|31942038|33991036|32731788|32379397|31993731|36342727|39000125|36833372|32020444|39358901|34033207|32724288|33684832|36509297|31928509|37833861|32339673|39630724|37154254|34126373|39700679|32462852|39976811|33216652|38306123|32670263|32203525|34229081|32776224|37369753|38956271|38314746|33767696|38542402|34228162|34021269|36212052|34554119|33864242|37081619|32024945|39959979|33369527|36159650|34010570|32432649|35296212|40065425|33571254|32069329|37602749|37973775|37718225|36402804
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.13963963963963963	93	34381552|32271453|35529868|37734442|38541182|34165681|32842976|36159847|37888493|37217999|35778929|36155729|32546242|35022354|36224598|33093664|33626928|33691568|32371433|34586637|35098753|33761629|32487951|37979399|32014990|32299736|33608337|38143757|36827997|39584543|32725881|33290287|40196119|32797278|34780847|38724212|37628706|39139566|33634341|36682467|35385029|33602658|36038003|34615639|33087018|33570715|38780237|33422625|33681644|38640580|33230684|33078630|32866928|33187546|36918754|32676898|35134976|33535634|34605053|33603750|40137452|39197293|36911721|32041760|37275894|37578023|32573990|32726184|38646109|33618510|39798984|33071068|34263881|32868281|37815280|36153896|35803868|37902947|37073638|33461987|32273643|36659843|37658935|34149686|31974818|33331328|31916716|35131416|36642624|33413168|31995956|35791620|35460903
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.11058823529411765	47	36987539|34019444|36651087|33830360|34149708|36483564|34540202|33864395|36856816|37879125|33704001|33538202|35460009|39258444|37194367|32445456|34213572|39170619|33084268|38495872|34283386|37715694|33341195|34432926|35285489|32789979|37824200|40058840|39737932|32969750|31981260|33618803|36422998|38189700|32246516|33418246|37648653|36154361|33843413|39051434|33035362|33562571|35971573|32165620|35100460|35130397|32098513
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.09429280397022333	38	36006458|33273664|34842481|33844107|32885389|35364736|36942981|36724239|36782189|32007931|37308459|38986162|34508266|39881399|37893596|32404541|32544369|38444034|37195063|32039436|32996395|37395839|36116835|33323530|39612456|33193432|35882971|32820183|37431718|33515210|35216481|40063233|33572654|32098857|35066596|39976227|35788746|33833756
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.06134094151212553	43	33180388|36346114|32235253|35104386|32558202|39861482|33882889|34951921|34539646|33965402|36825010|39461948|32938972|33674445|37958564|35153622|32765525|35734167|31961078|34698811|34093519|31958792|36613575|39221881|32327345|37877363|33469903|39540857|37872223|39480504|34406596|33995347|38156824|33816637|36233087|32360069|32973785|35628317|39284999|34867980|36180072|34592754|34500217
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.040948275862068964	19	32178543|40162328|32644176|39508813|32956167|33423034|32319132|35318462|33153658|34008144|32618930|39947978|38519437|32027810|38357865|32247793|33040870|36384897|33390490
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.03314917127071823	6	32457424|34590391|38220100|39623152|34806760|34218389
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.027829313543599257	15	37713856|33859636|38597333|33734479|34103266|35507800|33244975|33070186|34641810|35383266|32921269|31922959|33214334|37511260|38054256
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.024553571428571428	11	33294881|32688139|32569708|34335579|36636972|32817707|32510771|33434935|32735768|33245005|32618402
COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.023054755043227664	8	38003290|32268865|34593238|33373079|32693768|36973990|37949621|38433519
