Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.0859375	44
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.08198614318706697	71
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.04415011037527594	20
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.02680965147453083	10
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.011976047904191617	6
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.011695906432748537	6
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.010714285714285714	3
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.006842619745845552	7
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.0055248618784530384	1
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.0037735849056603774	1
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.002793296089385475	1
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.002232142857142857	1
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.0021551724137931034	1
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.0021008403361344537	1
