Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.0859375	44	34220314|38963275|38317666|38950975|35564882|32614807|34507574|34752729|32513515|35673228|33325455|34693988|35974347|33603355|38949832|33234856|36669663|37569047|39761550|35035572|34243744|34672872|34183115|32664818|39083678|36958341|35040601|34889270|35819467|34740592|39622328|32325369|38087840|35664144|35513770|35279314|34738779|33372557|39742126|36610384|37497315|37752048|37231577|32107742
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.08198614318706697	71	38287095|32004618|37489241|39069849|40200355|36964552|38050482|32081967|39465824|37971940|39374066|35012399|37455834|32072798|34649155|36294765|38974815|33344472|35511711|37646641|36960961|32368022|37286221|35672889|39311113|37479736|38059011|39518558|34729725|36948500|33947866|37918066|36040766|35566517|37549418|36343840|37208289|37848254|34560265|33601330|37764686|37764846|39949428|34406915|36997614|33108109|38674827|34473553|37574307|39762812|34449285|34264863|38806787|32216568|36184247|37364277|36456486|37109690|33007162|40267465|36813297|39261873|39389402|35190437|37696283|33970728|32606652|32753861|37385658|33719787|34624200
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.04415011037527594	20	34583244|33168558|35128294|32754541|34505015|39860403|39518459|38664329|32752892|34989686|40051185|39859079|35204359|39706845|33262103|32555199|39359792|38034468|32505256|39612431
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.02680965147453083	10	39115297|38962418|37698443|37405549|34526312|33075243|36470802|40118910|38579300|38477675
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.011976047904191617	6	36581812|37119738|33328731|35385639|40078397|32710678
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.011695906432748537	6	37168291|32990821|32250871|32800196|38698010|38613061
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.010714285714285714	3	38517152|37244705|37129767
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.006842619745845552	7	40218907|39472459|35443459|38508342|36274992|34477827|39000454
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1	39346313
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.0055248618784530384	1	35362332
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.0037735849056603774	1	40114423
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.002793296089385475	1	32341642
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.002232142857142857	1	37390289
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.0021551724137931034	1	35610473
COPD Treatment Cluster 13: Digital Health Revolution for COPD Self-Management and Outcome Improvement	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.0021008403361344537	1	36796228
