Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.07734806629834254	14
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.07112068965517242	33
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.06958250497017893	35
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.038535645472061654	20
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.024128686327077747	9
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.022727272727272728	7
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.0223463687150838	8
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.01991150442477876	9
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.015015015015015015	10
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.011695906432748537	6
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.006944444444444444	2
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.006230529595015576	2
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.006134969325153374	2
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0061162079510703364	4
