Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.07734806629834254	14	39716880|37516801|38307655|35882635|34648950|39042346|36906887|32616212|32712590|33665775|39222740|31945385|32616213|33712507
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.07112068965517242	33	34405208|33944850|39978852|36018069|32557178|33456366|37194541|35858980|32259514|37861560|32051153|33211066|37805878|32960422|32459561|32371952|38973267|36379687|37658014|36971826|32921995|37779064|39004950|38525870|32500759|32169984|38664686|38955748|39496328|32867695|40170395|33021724|39900843
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.06958250497017893	35	34770756|39000575|32813332|34337648|33210444|39145850|39725259|33454027|38335587|35588870|34309209|32978223|38340989|33336382|35105922|35841135|32028597|39563240|37993748|33231929|33212192|32416711|39278464|31947522|39871641|36594387|37728503|35226259|39940050|36321795|31999942|33385503|32017982|38597065|32649364
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.038535645472061654	20	32506304|37458730|32331276|32330364|32027601|34341099|39327946|39461404|32303958|32112488|32456520|36976922|39366923|36822333|36614209|34678204|36513135|35563024|32556396|38796742
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.024128686327077747	9	32006667|38526612|32345990|33235063|40069469|36597221|33785355|35872047|38597063
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.022727272727272728	7	34676534|39826530|35218559|33522400|31961829|34343353|38136585
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.0223463687150838	8	38452283|32585157|34646422|33326834|34375616|32842758|32264695|33077703
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.01991150442477876	9	32497457|33891128|37721189|32085536|39213090|40023440|38953404|32900259|32798726
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.015015015015015015	10	32221959|38652212|38163944|36944814|33944647|34921554|38692384|32968482|32843658|33749554
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.011695906432748537	6	40126053|33189514|32627514|32361614|36540505|35787178
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.006944444444444444	2	32686522|36070970
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.006230529595015576	2	36504158|33911115
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.006134969325153374	2	37696728|32088181
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0061162079510703364	4	33190801|39977963|33002813|33857915
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1	38112214
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.004694835680751174	3	40153090|39495253|32619674
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.004464285714285714	2	32768893|34615619
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0042796005706134095	3	32434278|33722535|39662268
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.0037735849056603774	1	36543093
COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0037105751391465678	2	35474056|34775240
