Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.06756756756756757	45
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.03879310344827586	18
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.03125	14
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.025677603423680456	18
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.022099447513812154	4
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.017361111111111112	5
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.01680672268907563	8
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.016722408026755852	5
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.01647058823529412	7
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.01557632398753894	5
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.015414258188824663	8
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.015345268542199489	6
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.01364522417153996	7
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.00998003992015968	5
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.009925558312655087	4
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.009852216748768473	4
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.00974025974025974	3
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.008683068017366137	6
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.00804289544235925	3
