Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.06756756756756757	45	33542005|32511031|35993505|32563618|39086027|37345389|32746887|32431278|32777852|33878254|32621708|34906226|40121651|32234031|36564248|32127513|38096857|32567417|32310912|32386051|32803924|33331715|38936655|39633155|33788843|31914832|32129220|37678349|32536650|39222472|36443282|32522919|33004169|32931936|34099213|38289815|35983980|35227500|32956950|34270455|33541953|39906951|32052167|32848107|36050704
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.03879310344827586	18	32418984|33104035|33372021|39087972|39937923|32467117|38000008|33542023|36315414|34881272|35108561|33944620|34088686|31891353|31969417|38765005|37743517|33717166
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.03125	14	34088334|32910433|33207372|34696427|34019009|37433192|35667745|34436742|34329810|33006717|37927669|36479866|32401226|32474657
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.025677603423680456	18	32849311|32002285|36243331|34318604|39385638|32292492|37873558|33162397|38439200|33145710|38600378|38355144|35011361|33378946|36913130|32605223|33771121|33891947
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.022099447513812154	4	36608916|33836169|32173313|32682873
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.017361111111111112	5	40158223|33077334|33565825|38744550|32521037
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.01680672268907563	8	34674229|37143725|33359047|32564634|32762596|33971182|34012057|38768709
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.016722408026755852	5	33825169|32757711|33938438|32920854|33488017
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.01647058823529412	7	39673617|34033155|33217048|36156836|32173718|36652271|32941728
COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.01557632398753894	5	34021680|34735568|32394929|32166438|34047874
