Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.1036036036036036	69	38682664|33852744|33941456|38124070|35588798|36169525|35460976|34230009|35051004|33238985|38434467|34616265|32041923|38296323|34303412|32569624|33745647|34488831|32482119|40022024|36721091|32160301|32816878|36411001|36260896|35179326|33840488|35418381|31983745|37318776|32779758|32247876|34313523|35659162|33994241|33725172|33472801|34604963|33847093|34281089|33087020|35955655|32744174|32967945|32578581|32366763|40081920|36248833|33683567|33347427|39461376|31977895|36984574|37675179|32771076|36315212|32874007|32643199|32882069|36384942|31959304|32303527|37184084|33934509|38658483|31930781|32471747|32508067|32114497
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.09913793103448276	46	33949229|33140837|32371846|32803632|36637930|36373331|33693048|36260894|34332265|32157119|35641524|35633001|32109037|37661446|36169738|31957506|37531370|33331722|35001672|37664474|33439331|37365037|40127393|32675738|33786225|33217875|40156759|33977831|33321078|34309328|32079476|38363888|38934952|36572469|33552346|37796742|34481952|35907004|33253210|38393800|37353819|35599064|40168968|35914450|36143938|35708962
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.05389221556886228	27	40159054|33757485|32103933|32030868|35246431|36645788|39392116|32675004|35576398|32561408|40292938|33853748|35037876|37146883|33042679|33542024|34874626|32862719|38547917|39132722|36990700|34173814|33472890|37479478|33724424|37848398|39336530
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.05	14	38240101|36261157|33627095|38195188|38955386|33117725|38655676|39963887|38868278|36868599|35509077|38878341|40240456|32599634
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.04672897196261682	15	37870707|38767885|34946231|39809488|37448153|39280279|32234495|33160346|33032129|40042563|36958380|33213773|38885678|33765286|40025689
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.04289544235924933	16	32788027|39337111|36940128|37274953|32411343|40059094|32152402|36412131|39677091|35583221|37999219|32348602|34623471|36695722|37217290|33400859
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.033203125	17	40258197|37705673|38153901|37798723|33713754|40193185|35436176|37684691|35755034|33234865|37346078|39957490|36170131|34822743|38692759|39987184|33138287
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.027777777777777776	8	32570730|32666172|40007262|32576747|38683364|37605733|38467155|38150385
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.02729044834307992	14	35192447|37161410|33670292|38056532|32162862|37919844|38876918|32808830|40104899|35784975|35270479|35352480|37833102|35524066
COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.026490066225165563	12	36323421|36134112|33736547|37295262|36601561|32581139|38812834|38273393|36701677|36709254|39271191|33131350
