Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.37965260545905705	153	35147481|36346838|39542189|34052360|39806324|33242532|36682523|38820967|36370296|37182286|39442465|38017660|38305342|32617791|38363058|39489991|36685579|36297105|36437579|36985456|36558525|35924250|34331695|32674107|39608616|35643074|32648603|40118969|33460755|35979373|34748611|32502346|33998910|37892183|38358467|37806984|38834626|32028063|34445661|39460415|39262119|39616851|39798473|37836391|35415913|34560546|32679549|33408335|37270172|34777378|34423389|39083495|37893571|34361701|36825726|32053981|37984607|33717160|40147796|35107766|39907970|37493934|32243486|34521930|35115492|39207636|37182439|34994311|37426634|38150015|39571268|33798506|38908493|37638021|37011736|37022525|32741032|34186192|36070446|34976302|33380704|38831558|37535012|34920714|38852517|36194972|32016833|34753831|32235564|39522115|33347967|32223462|32043729|34294369|38272919|38556563|32382842|37013999|39442190|36223063|33181176|31982560|35614190|35662629|37131046|35505045|33582917|32791152|32245307|33177160|37085956|32304993|34288720|33609696|34418899|37527031|39105461|37462336|33989762|32586262|35874765|38528207|33039953|33550047|39580856|38013316|39510013|37536000|36426957|32812250|36519430|34276665|32470883|37370181|32447218|33373915|36350424|32403241|36571199|32707885|33169522|38601347|37878048|31936141|34924115|39409183|33624882|38110193|34080090|35831853|34839259|38132951|38158718
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.053763440860215055	10	39616227|34482265|32459025|38981223|34147915|33398541|38547769|34335573|36299604|32413739
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.05058365758754864	13	33156836|32622201|33053380|32801454|32718263|35446470|39786892|39706062|39837014|35623175|37930392|36905112|34896056
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.03211009174311927	21	38003966|32795901|37991542|35218463|38683276|33008950|32420568|38734936|38636369|35850642|37470914|38411787|38649658|35750385|33064243|32252000|40215775|39895261|32945496|38897341|35483514
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.029957203994293864	21	32738596|34585777|39710763|32383062|32415262|32977406|35701524|34975855|33717104|33117376|32622513|33242574|36389831|35096346|38892148|36424369|31894253|33569065|39064959|35920857|40216179
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.02510460251046025	12	34402274|39455243|38007937|33386491|34248976|35887239|35318759|33609698|33624898|35254584|34514945|32342135
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.02119460500963391	11	39217874|32172207|36694450|37482570|32093269|36227522|36512053|35504091|40088961|32029577|37282908
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.018779342723004695	12	39273522|34445367|35509836|32726313|32048121|40181022|33745959|35039996|32503379|36293500|34550498|32772505
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.012315270935960592	5	32157196|39587228|33039960|35148177|36615489
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.010775862068965518	5	39639544|38114165|34959772|38804652|33302685
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.01050420168067227	5	39915758|38568399|35629988|34302692|33418975
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.010033444816053512	3	32873150|36812453|38372728
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.006944444444444444	2	33237390|32092830
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.006493506493506494	2	32187848|32134733
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.005964214711729622	3	39375918|34838694|35245636
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.0045045045045045045	3	37119677|38043268|32957384
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0037105751391465678	2	32442901|39028276
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.003115264797507788	1	39126571
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.003115264797507788	1	35930173
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.003067484662576687	1	36614296
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.0028011204481792717	1	32424605
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.002793296089385475	1	32865101
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.001996007984031936	1	38412181
COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.0009775171065493646	1	33689672
