Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.1497005988023952	75
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.03819444444444445	11
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.023121387283236993	12
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.014005602240896359	5
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.013377926421404682	4
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.0111731843575419	4
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.010954616588419406	7
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.008928571428571428	4
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.008559201141226819	6
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.007058823529411765	3
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.00646551724137931	3
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.006230529595015576	2
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.006006006006006006	4
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.005964214711729622	3
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.0039100684261974585	4
