Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.1497005988023952	75	33045575|35877261|36786822|38394850|34671344|39222243|34323400|38719600|38961537|39244899|37315742|32912432|32130337|32669620|40293838|34498802|39415340|34536758|36116376|40083194|39642567|39073317|40032576|36166195|34707784|33028767|36410121|39368099|32437841|40073729|33372874|33513653|39990206|38151454|32337244|39009409|39745090|40107664|35887292|37241212|36625471|39209469|38986681|35679109|32591895|39142248|39212123|33512266|36398675|34953919|32051168|37518267|35794782|35562961|34142927|39162796|34343721|40049461|37843890|38961002|34607005|33123215|39026235|36933322|40076835|37061127|34593558|38655828|38943976|34415849|32657833|33882301|37175084|40092211|36725301
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.03819444444444445	11	33203891|39182665|36395681|40076946|32279173|34968489|38861914|32381012|35663306|38739149|39145797
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.023121387283236993	12	37336252|34762934|31931543|32372165|34678729|34864206|34649353|35197532|32487624|39012714|39764881|32360483
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.014005602240896359	5	34768791|39978030|33631228|37938538|39796631
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.013377926421404682	4	33941141|37834250|33269655|34134189
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.0111731843575419	4	33135058|35931236|34076932|39223082
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.010954616588419406	7	38758132|39222241|32904701|39417843|32377772|35174937|39830783
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.008928571428571428	4	33107641|40154560|38045178|34842488
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.008559201141226819	6	35039609|31967851|38692011|39384840|33647319|32709610
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.007058823529411765	3	34410453|34650521|34689211
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.00646551724137931	3	34800196|36948586|38030064
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1	36189568
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.006230529595015576	2	34999158|37490135
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.006006006006006006	4	39388891|33470717|34044279|35563653
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.005964214711729622	3	38091892|38158044|32643929
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1	34560540
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.0039100684261974585	4	33472168|39420370|33774068|39261509
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.003898635477582846	2	33264072|32554756
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.0038910505836575876	1	33874948
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.003246753246753247	1	34664210
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.003115264797507788	1	39764686
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0030581039755351682	2	38976045|39460965
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.002680965147453083	1	32949322
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.0023094688221709007	2	37608014|36258171
COPD Treatment Cluster 18: Antifibrotic Therapies for Preventing Pulmonary Fibrosis Progression in COPD and IPF	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.0021008403361344537	1	40015207
