Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.5049261083743842	205	38442474|32541956|37953676|33661643|35910802|38795596|38732527|34025639|40101416|40157083|36603529|37890744|33557671|34354708|38127978|36232724|38960873|34960110|37072632|37834076|32279043|37067455|38833212|33027716|33362764|36615338|35185872|36398889|39952533|37490035|38372176|34436307|38211833|39033185|37120245|39729961|40101980|33174609|39418965|36399439|32112134|36584066|36159803|39508874|39861331|32145470|35761646|33917155|33768208|33652919|34075098|38289370|32093767|39920168|33533603|34944546|39111568|38918333|39521219|40022994|39145619|39423813|39048206|39810933|38518253|33095019|39395256|36677551|37740010|39313273|40147263|39769422|32033881|34334065|37643009|36548483|34502199|36686454|39353590|39863665|38255781|34268870|37859616|39352537|39864909|35463668|32259714|39733645|38471276|35568321|34536451|35926806|38068850|35876252|33774071|32210304|37517028|34364589|39413617|35248376|33072090|38542701|36055136|38835771|36145086|33819810|34677958|38608475|37599322|33717063|32169445|36232929|33042117|32492488|33984722|38762922|33868283|36219101|39032279|32447214|34311533|33085904|33977948|33900330|34087350|34700334|37730180|36364726|37803696|33864170|33468700|37047133|36350434|33865833|34995794|37366641|35237276|34887862|35229916|38428258|33769191|37836654|35893896|33811973|38977864|34369649|35537703|38480613|33047367|36884184|35631220|35408512|32132347|35049210|37284442|34017972|35044411|36069282|38582281|36558391|34634946|36561763|39614508|32814166|32522964|38542210|37288995|34673859|34749293|39454376|35048920|35546761|34273490|33595775|35063480|34403670|38679261|32468008|35181066|39557266|31974003|35997173|39859249|32170938|32388765|38412360|35607985|35597036|36771228|33076301|34821232|40086056|37203220|39461236|35249909|33966825|32582180|32403964|36399014|32544520|38498054|33424439|32356528|38844255|36615467
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.45083487940630795	243	38739976|32430179|34256329|39401179|37855980|39928516|35929295|39494333|39458516|34444876|35916379|32422567|39426229|32835668|33025105|32564751|36431883|38809142|33808686|33290965|38710356|34162146|34833355|34456904|39994449|35566122|38851163|35820429|36197455|34143895|34725870|36395977|38417670|32706033|38763983|34997010|35003109|32009281|33946346|38069197|40220356|39699220|36502751|38850790|32996187|40055678|36430859|37247693|34691046|35269806|36479492|33219923|37506521|32016839|33884622|40138774|32700754|38698858|38652960|36001205|33770552|36154797|33255321|37530507|32788877|37182450|39931937|34882874|37545095|33569665|32720164|34932054|35841974|38488031|39098180|38761782|33691258|32811965|39657154|33761623|32316726|39223062|35894596|34999087|33635174|39120720|33611058|32220806|35462013|36384262|39852549|34231596|32988394|38816915|32128795|33887576|33318078|31981745|38677600|36872571|37574161|35897919|36422855|33171134|32085881|33633749|38503815|37068340|32365634|38049007|32885438|38579565|34641434|33441125|33168409|38928319|33315320|39934536|32738379|35672695|36373867|36615689|33617822|40056427|32383169|39636381|32892075|38282655|37196557|39288627|34884536|36221187|33240279|35670211|32155506|39213975|38310453|38945373|33947538|35947115|38720520|37569708|36596561|37421777|34096560|33285228|32370215|37185322|39485260|32904539|32546529|33748287|37298531|32688280|33790314|31914614|38583725|39222781|34463261|35993870|38243362|37108188|36918234|38492181|36053746|33802855|39265668|32059355|33233487|38738935|37446006|38081366|35021901|36997007|34335571|33920375|39524440|35777588|38516705|34997096|37542525|34641356|39042157|34330056|31940911|39195452|33868286|32575844|39182265|33462754|37843009|38596488|39238009|33394309|31918016|39473926|39642569|33839254|38667792|34613638|37017113|39571265|35609771|37868958|38923108|38744176|39362427|34067858|39063111|34239062|32579962|37030122|33348246|35741032|37047398|32486405|35303685|32714090|37819465|33348308|33336463|34543978|33435764|40320895|33341041|39708482|34502403|39064796|39377749|34367139|35066822|34758401|33668818|38507851|37542259|37880427|34957834|39957712|40047397|32710952|34710659|36656595|36145120
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0856269113149847	56	36069409|34184406|37672039|31899146|33396265|35643063|36358984|37233919|38636177|34036963|37851988|36501097|37133416|32924710|34259316|32664498|33160021|35338432|36211988|39923139|33039959|38489893|33595153|33647259|39460459|32824269|32497625|32958122|34327573|35767902|37569771|33945545|33058296|36578522|38652966|39018284|34868045|33125572|38960876|36228879|35283422|34653728|38892549|39044067|33801889|34932051|35190960|31931369|32524872|38035519|33296782|39331669|39190472|34606534|39442837|35719091
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.06259780907668232	40	32059153|32587471|33588045|32545398|34490475|34156157|33535180|33061833|39423661|32650602|32500859|35438553|37856434|32018138|34628369|38158054|37298350|34498709|39471691|39369123|33524788|34998820|39655451|33394186|38699907|40004976|39956261|37373057|33740527|36234864|39208524|35253649|39261390|36125935|34695389|36214640|38085520|33999335|33647256|35043135
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.053763440860215055	10	39746581|32563803|38153262|38870831|32521491|39854876|31927507|37573688|32470352|38113649
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.043933054393305436	21	39059931|38630380|37923042|32532055|40022397|33808253|38339018|38959374|37073737|38972645|37574588|36566552|39276456|37148926|39516633|40215791|38872277|39719254|39178327|37241929|32911639
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.039761431411530816	20	38382250|32574670|33857512|38255874|36326017|34680091|37221879|35163630|37959758|39638211|39068762|39900639|36107605|32559625|39400499|39742427|36375516|37569412|39427735|36007634
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.038535645472061654	20	33942299|34216713|37188770|35943671|32115503|39182661|38985369|37059377|33537095|37931351|31950049|32475915|35163182|34290357|39405905|39443729|35362542|32044657|39216118|35122774
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.03851640513552068	27	32840638|32272095|36828897|39797462|34010669|39676480|32922402|34597787|34543979|34343656|38509733|33122005|36746838|40203793|34630408|32062080|36071145|33901737|34899738|39880666|38639442|37191335|38823183|34589089|36037362|33028617|33645072
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.037383177570093455	12	38085291|39133675|34546832|35505268|38762925|39172154|37646075|31996319|34506768|32598724|33333047|38131381
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.022727272727272728	7	37602382|34224858|36614012|38300824|39519442|40086057|37445812
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.017902813299232736	7	34630849|37890686|33722710|38246263|39566389|34523052|34743979
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.016574585635359115	3	37299451|38691917|39230587
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.012658227848101266	2	39275212|40106967
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.009202453987730062	3	33002468|32080277|39684781
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.008403361344537815	4	39151382|37507636|33510215|35006804
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.008403361344537815	3	32315005|32050154|39133959
COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.007058823529411765	3	35914449|40009233|37280776
