Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.26380368098159507	86
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.09248554913294797	48
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.0529595015576324	17
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.02100840336134454	10
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.015086206896551725	7
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.012658227848101266	2
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.008559201141226819	6
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.008403361344537815	3
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.00782472613458529	5
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0074211502782931356	4
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.007389162561576354	3
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.006688963210702341	2
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.004705882352941176	2
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.0041841004184100415	2
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.003976143141153081	2
