Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.26380368098159507	86	33982835|36692829|34864310|40017626|39549439|32897000|35121582|35245385|35802827|35905195|32273947|34428217|36325583|33260951|34893997|34199169|31904094|35665759|33070257|38165473|33427041|35590388|36193659|36495276|35996360|35653338|38542198|36043708|36202092|32545325|33511940|34122428|33360326|33152664|34436652|33275396|33832880|31931078|32889812|32655007|34987061|32304100|34174268|32540642|38912586|37280092|35373258|32410839|33760116|38536116|33603166|32004752|33941107|38252517|34341904|39652176|32710395|36235161|35758042|33040178|32651213|39443291|31994315|39043526|35416770|35409177|33049690|36557911|35832288|38477426|32581009|32296574|33919029|32485001|32272633|32718943|37454036|33660801|38809988|31934887|34356673|40176805|38072949|32615181|38815949|38850411
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.09248554913294797	48	33348563|33988296|34266857|33617828|34390295|32265226|33745072|36288885|35934220|34638901|36324187|36860494|32608212|39127029|33121471|37738908|32297484|39955994|35609326|33191180|32889798|37001883|33082288|32507936|39992209|38275052|37055552|37901240|32483448|32705218|32986368|33669933|33741331|37009709|32015157|38217262|32680921|33413202|32772580|39378921|31916655|32193288|35230578|33055265|33928829|34551202|40044852|35806101
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.0529595015576324	17	38502074|36232870|33470689|35086822|32998939|39723629|33478220|31918672|35056355|38491813|34244153|34980677|32635638|36010582|39762456|36030782|32726655
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.02100840336134454	10	38584541|39994787|39474123|35163356|34784195|32430508|36717997|32283655|31997769|32070764
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.015086206896551725	7	32989022|35328014|33878160|38412399|32534647|34911905|38413187
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.012658227848101266	2	35486227|38785967
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.008559201141226819	6	32168749|33857171|34031121|39181134|33469195|32758571
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.008403361344537815	3	38047472|34503439|35955793
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.00782472613458529	5	31954771|34925318|34769396|35955744|39181068
COPD Treatment Cluster 1: Cancer Chemoprevention Strategies for Colorectal Neoplasia in COPD Patients at High Risk	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0074211502782931356	4	39580861|39602956|32119788|37446747
