Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.6666666666666666	238	39062514|35750136|32188725|37119760|32378877|32937159|34871743|31997373|34969385|38943970|33749318|39864226|33756231|33657990|39800144|32119963|34145945|37772395|37219693|39952301|35820204|35126359|34626932|33792809|32192079|33793882|35485077|32295272|32216342|38013053|33772456|34555641|32627454|37011746|35179299|36182732|34902361|37817304|32967433|34974135|33609264|37523948|33069671|32450460|34299285|33368795|39936985|33566377|33945910|32828744|32067515|34619344|33993100|37196556|31926057|34183378|33715222|34015506|36645521|33574047|33576722|33600922|33683038|32036214|34275345|40239335|33862553|39755110|34457120|39212582|36863618|37926405|39276486|32546959|31987990|38070468|36131028|32473572|32158448|37061196|37616215|32283542|34089816|39514911|33144082|34822485|37511015|35165344|39362031|35822930|35786619|38312834|40117804|39889918|39321699|39305891|33348310|34717916|39353392|38643452|39999524|32978699|37385215|38396341|39293582|34843587|34624676|34890640|34907730|35419738|32004939|38721694|32277902|33809904|37497688|37625018|34859376|35734974|36199629|38553799|33765229|33296784|39146877|37009719|40048549|39162986|33763072|33751357|33808318|40208782|35609387|38467965|32106375|31927508|32570937|35838934|32272365|32061596|38959553|32989909|34171769|39832566|39159503|34836410|37541252|38685856|33383371|39501714|31895207|34490599|34171492|37999416|32485811|33068590|33733518|32062076|34837640|35543257|34684882|32454225|37148837|34770745|39079261|33370627|34064375|38229321|39437640|34273638|34555627|39426234|38362686|36154893|36145172|39519830|39259981|33388732|37326941|34707781|36201260|35309311|38129360|37782692|37401768|34464747|33496031|35404472|38458224|32615451|37518878|32801031|34609050|36190121|35063475|36933163|35095926|34532999|34500479|40284236|34769206|34715296|38092194|38142558|38396750|32440768|33256287|35708629|32475638|39201682|32524150|40222107|36160708|34231603|33493657|32267246|34368363|36808658|34873567|34308776|35152673|34923653|32512269|34935193|39729114|37874430|35438551|33707345|39440339|38500399|34361019|35792270|39813788|38984607|38402834|33531877|39795945|33006074|36379119|38733905
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.19480519480519481	60	38640721|36147457|39892017|34239622|35390440|31914699|34768813|36184988|38971107|37511305|33787460|32281563|39457059|34954342|39191120|34649219|34185201|33325949|36222341|36286746|33341045|35897843|39598636|33411880|34029162|33546130|32633848|37697721|36234935|34927282|36744700|32544504|33132309|32734608|34781143|38395263|32429849|32446022|40024562|32599319|33548473|34314306|33474802|37739694|34096005|36432581|34564157|36384052|33352441|32956824|37868954|34605662|33321735|35119232|32410294|33326684|34999396|36103959|35720181|39243554
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.053208137715179966	34	35478087|35502492|38004149|32885502|33057777|36154440|34578877|34946518|35616800|38225072|34437912|36677846|39707862|38689072|34560545|39108104|34821957|32171873|39890857|35644820|33275538|36718047|36717999|32737827|36038687|37437784|32107872|34217992|36709594|32686990|32348741|33846815|39919455|38194107
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.04046242774566474	21	32334468|37599565|38354025|32199226|37579693|33246826|32194177|35034870|33508949|38565569|32103295|34833975|40010483|33444919|33499185|36651944|40248068|37657195|35065059|33433352|37391684
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.024630541871921183	10	38892715|34912498|36115932|35787436|34482357|34819599|39945558|36604080|40121054|33991837
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.022641509433962263	6	34649220|34468908|33217691|34998036|36746856|34454288
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.016129032258064516	3	38944952|38985664|32816567
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.015345268542199489	6	33516071|33997001|37954578|36144734|34663518|34302979
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.014265335235378032	10	34162167|36215787|38325266|38203627|34848154|34789044|36066812|33692213|33846641|34794237
COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.013916500994035786	7	32823621|33426876|37832240|32169759|40252246|38508326|40090597
