Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.053117782909930716	46
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.03515625	18
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.021956087824351298	11
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.021447721179624665	8
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.015625	7
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.009775171065493646	10
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.008620689655172414	4
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.006944444444444444	2
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.004415011037527594	2
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.003246753246753247	1
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.001949317738791423	1
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.001564945226917058	1
