Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.053117782909930716	46	34230214|37353332|39375781|34380343|36800224|37368891|37235454|36044093|39485895|39281331|39403653|35078280|38450340|36839267|37628507|38140395|36361194|40133938|39608472|40171139|40113079|39992976|34344482|35565914|35386389|39843359|33468784|38508667|34678585|32342470|33225762|34737308|38483650|38128253|34424805|35416134|31913345|39653540|33442246|35620350|31907074|35941972|36458416|36892891|37443292|36533560
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.03515625	18	39456127|34034036|35924211|38747536|34444947|40296946|38070922|37510930|37730198|34320141|32725615|37165688|38241014|37813825|34706980|39311644|36396523|34044450
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.021956087824351298	11	33254254|32962746|33981523|35001815|38610791|37863339|38806225|39837402|33401266|36523719|39963761
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.021447721179624665	8	35571592|35819698|32101645|32899902|38744478|32689839|33446612|33853692
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.015625	7	37017213|37270195|37216955|36290350|38798834|37261306|34258900
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.009775171065493646	10	38270119|32986960|38496359|37899477|34901852|39764722|32764771|39860328|36165500|36324300
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.008620689655172414	4	35312562|32131643|32313456|39207252
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.006944444444444444	2	35854255|37944829
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.004415011037527594	2	38576670|32362176
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.003246753246753247	1	39643514
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.001949317738791423	1	36361244
COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.001564945226917058	1	31992992
