Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.17142857142857143	48
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.0684326710816777	31
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.04873294346978557	25
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.04105571847507331	42
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.037109375	19
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.03695150115473441	32
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.023706896551724137	11
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.021956087824351298	11
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.021447721179624665	8
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.008928571428571428	4
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.007389162561576354	3
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.0045045045045045045	3
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.003976143141153081	2
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.0033444816053511705	1
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.003246753246753247	1
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0030581039755351682	2
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.002881844380403458	1
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.001564945226917058	1
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0014265335235378032	1
