Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.17142857142857143	48	36614912|35549921|38460975|33353408|35604182|36558847|40282960|37852657|37239067|34680429|39560620|40258727|33718279|38562856|39766500|35355582|37240974|36475849|34604601|40003871|36342141|35983167|36976010|34765263|39712895|38785444|32281536|35785879|37030524|39324058|40040961|35927044|37675198|38212620|35026180|35790142|35453008|37546739|35311590|33295729|38849369|38003242|38915461|36167555|35563722|33941014|38256606|31922913
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.0684326710816777	31	39108325|32343509|33448349|37661819|33263644|32489532|34234518|32676981|36117352|40325544|34533020|39904363|33688179|34353802|32071044|40283683|34113250|36072611|40303489|36961161|38640281|32726839|36035428|32493123|34856338|39615502|35402450|33893708|33295032|40139217|37946165
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.04873294346978557	25	34205765|37835060|36773052|38125839|39255990|39096201|37503537|39458339|35745177|37802245|34985761|36264441|32218410|39702915|35431305|37524493|32772357|36697211|37080456|33953732|32434660|33303553|36543714|32060069|35316427
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.04105571847507331	42	38786086|32251737|35553638|36249771|37457746|39757098|32063701|38158908|34069223|39549856|33488613|34302758|35628917|33060632|39589286|34479474|37708400|39446051|38762432|35131234|39985490|39606712|36207962|37240045|33122447|39443246|38115209|39319046|32493333|32777683|37408603|38812021|34615424|33198880|34626675|40154559|37147634|32608490|35142479|39403169|33301808|32917271
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.037109375	19	38955746|40141389|40123030|35965049|38692752|38541113|35533707|33820658|37977558|32598645|34657541|37357768|39095139|34064650|33583300|34795588|31955671|35657186|38464563
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.03695150115473441	32	32800200|35381632|32360596|37711118|32844430|32447906|32080265|34431531|38211884|33437213|32250198|34322549|32300001|32214806|38762800|34195251|36891075|39928303|34496521|37647574|35321532|39329240|36162248|35207787|32869273|38436381|36327882|35383823|35887686|40024335|33751727|32593253
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.023706896551724137	11	34800030|32737296|35743610|31908442|33149113|32450634|37987263|33955798|35708893|35379390|38922983
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.021956087824351298	11	39969780|33331916|38730686|34356027|37560988|32250872|38056890|33965153|32726075|36161236|35649189
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.021447721179624665	8	33290180|35363600|34223776|35145412|33481845|32408645|39191908|36394475
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.008928571428571428	4	34585899|33624419|36686101|33068560
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.007389162561576354	3	32730904|33749214|33718410
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.0045045045045045045	3	33478385|36413452|34844210
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.003976143141153081	2	36967671|36809706
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.0033444816053511705	1	32267724
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.003246753246753247	1	32473183
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0030581039755351682	2	34404757|38457591
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.002881844380403458	1	33638931
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.001564945226917058	1	36118282
COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0014265335235378032	1	37192443
