Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.32262996941896027	211
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.30179028132992325	118
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.26344086021505375	49
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.1722689075630252	82
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.13928012519561817	89
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.1329479768786127	69
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.12133891213389121	58
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.10984308131241084	77
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.10759493670886076	17
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.06560636182902585	33
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.06415094339622641	17
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.06042884990253411	31
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.05519480519480519	17
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.043227665706051875	15
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.03374233128834356	11
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.03361344537815126	12
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.0335195530726257	12
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.02977667493796526	12
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.02594810379241517	13
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.024630541871921183	10
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.020833333333333332	6
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.018018018018018018	12
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.013024602026049204	9
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.01293103448275862	6
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.011673151750972763	3
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.011160714285714286	5
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.010714285714285714	3
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.00927643784786642	5
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.0078125	4
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.006842619745845552	7
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.0055248618784530384	1
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.004424778761061947	2
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.003115264797507788	1
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.003115264797507788	1
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.002352941176470588	1
