Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.32262996941896027	211	36334371|34502415|35011425|33290978|39128809|36265612|32157554|36613700|39062636|34201357|33605003|39084576|40280116|34311188|38164360|39803767|34715493|34590155|37269934|38342013|32144718|37959807|39859275|33929710|35470943|32932915|33361652|32888998|36226622|33727430|34279442|34160729|32149121|37403713|32548784|34284014|34859262|40083172|32345772|35682568|37544187|32800949|34401976|39490144|39267167|32966478|38067567|34885991|39142713|38319443|33466926|33214336|38953409|34489373|32200153|32666338|34287677|34684856|32187984|31936482|32290603|34029124|33683191|32237498|39827664|39757690|32854331|35367538|36361915|32825228|38788444|35622584|36985786|36129300|33316741|32829089|38233194|34833933|40211323|32564014|33100904|38258992|38972211|33605009|34198981|34684515|34581091|33030503|36471963|38852519|35882782|36243161|38043872|33549578|33725636|39776026|40054491|33398543|34106384|32166675|35490666|32199919|39119817|33961336|38744989|35682783|39549151|34467464|39800032|35531700|38512055|34288216|39626539|38512033|33612476|32070918|36142129|32945495|32468498|39467351|32627493|38678669|33200357|38677715|31943763|33745957|37042086|34490481|34206763|33639350|36368358|34802947|35886440|36566264|32840384|33350272|34833849|35628252|38115620|35748214|31931370|32357521|32738593|34885671|38398887|32065451|33218937|37819772|33824112|33050458|32955161|33174019|35185907|32457419|38999828|34067064|32563986|38941716|32779813|37477137|32962250|36190475|38043934|39301582|36164877|35995255|39736343|32821898|38068804|39252640|39201430|34476925|40081908|31984561|34749650|33461297|36152413|36947494|37582087|38132950|39628684|36450301|32914418|32014631|34443321|33799169|36525453|39852532|39273493|36322828|36867320|32603606|39337656|35200650|34163484|34575918|35163130|33971495|40122191|32116077|37933967|33303056|32707496|34641616|39814392|33755281|32668965|33081068|36211213|36733419|33881685
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.30179028132992325	118	33214095|33798807|37923178|34487287|37524664|36566563|38845211|37536032|38484668|39135202|36361685|38772618|39476865|34544631|36007807|34816512|33268042|39419123|37647455|37812239|33389901|32419296|39428183|33744777|38540754|33381269|36681185|39468539|32855531|33313945|39032470|32960513|33532509|38664244|39251039|32171166|34933712|37227549|37335159|39921189|39159557|33052070|39657533|33098234|36439878|38990057|38474770|39254770|34040072|32200026|34302975|38597360|38850630|39276459|38885061|32574825|39681064|38149576|37857123|32044659|39324953|38326121|36182735|39513601|39032762|39763152|38908087|33188742|39608508|36288955|38762924|34688080|34325302|36706531|36086962|39231819|40050706|38552441|38901244|34427852|33290968|39305888|37906408|38964155|33217777|39561951|35313003|39909274|37857120|39922147|35988833|39236479|39535339|34669271|32712064|39278310|33418136|37184743|38203555|38068895|40001495|34305926|38936586|32763286|39798469|36139146|39265826|36587557|36164882|32458011|34560076|34250720|33818552|32702634|38613798|38924251|31958766|34737421
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.26344086021505375	49	38240115|37047051|39956265|34745110|32900490|38279455|37367672|32304996|35951149|40253767|33028985|36309049|32306544|39549164|38203587|35719213|39858497|32353421|37451160|39202831|39126188|39912203|40032104|39653129|40004227|33705947|38589767|33365024|33679781|37003639|39366075|34684819|38668995|33290264|33651308|36657273|32731179|39769989|32989235|33223465|34311526|40020626|38871334|34089866|32991757|32436066|34506712|38433281|33524801
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.1722689075630252	82	32848508|32655760|39355861|39352047|35676785|33113960|34708715|32717961|34761342|32439989|38003461|37764262|35985771|39271039|33776577|33260615|38812161|35993769|39754793|33534963|36080491|38739203|39499482|33530480|32397672|33544009|31905770|38085518|33466670|39146781|39014931|39515044|36293333|34259317|39513382|40142026|32458452|38674061|33255947|39844461|34078820|39159558|37138788|32812423|37446559|37947913|32019180|32516131|35250385|35163999|36076518|37044286|34681733|36215649|39396466|39822305|35489019|39202931|33333788|37047092|33428135|37950668|36966936|32230927|36266754|34476740|39173954|33963245|39536497|34057544|35251039|34500784|34467693|33603756|35068283|33461765|38010399|34688696|38103797|37068339|38432890|33022012
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.13928012519561817	89	36482997|38641285|39612214|33878335|34811638|35597118|36215870|32630030|34426780|39154816|36429086|33249045|34526618|32865914|37418981|33346364|37980962|37844468|34293392|32860758|38506087|32756588|38917486|39869626|33261826|36877411|34236362|33813368|35175488|39213874|37409688|37851868|39565148|38150134|36111584|34538151|34417573|38796864|34801855|39126567|39182269|39436625|37970921|38820835|39154609|33368975|36858596|35045245|40043356|33822512|36142159|38901204|37074177|40186902|34902645|35736364|34400737|39796030|37889426|38695909|34986734|32020686|33114200|36073729|39929097|36026548|32013140|34085161|37039781|36309949|33322932|33293260|32377290|35964411|39570382|39832189|38183531|33866621|34656906|39191119|34634559|34507119|39894220|33798789|39770941|33000200|33030083|39308040|35585771
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.1329479768786127	69	32593158|39029229|32627032|37578619|34783966|35795861|34818666|33381562|38345448|37660853|38931205|32101765|39652175|35061151|35438708|34311538|36228372|34771068|39326106|33035507|39862631|40274978|33446575|35831147|31906765|33220271|34065429|38980409|33786633|39087587|34898361|33893687|36718919|38923626|34186115|39353222|34726248|33461462|32865767|33982874|38281210|33362719|32601830|39177787|39094364|39074416|36716661|33977979|36399659|37906275|35408786|34560152|39862704|36706589|32794339|38502466|34157554|32532087|40004077|32430175|40122658|35851131|38843643|35204693|33352228|36700474|38762075|38279415|35749345
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.12133891213389121	58	34157317|32660399|39048245|32235725|38781756|37429999|33687093|38970958|33233226|35566252|37344506|40007350|39102757|32331691|36436860|32339515|39849923|36889198|34549751|35436473|39694962|36771110|39770155|33204395|34204220|32992840|35334812|34089946|33947113|37246827|38398522|39033660|35586367|38005265|37570786|37504900|32967264|33525692|33692243|39915982|34619497|33847360|33223464|33207669|32599714|40024025|34940677|38266663|34637815|39962315|33424855|33436221|39859147|34070821|34167635|39477181|32064876|34169916
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.10984308131241084	77	38346287|37981630|32575718|37108306|38531202|31936879|33868227|39625485|34403776|35064870|35563195|32570032|32315950|36595833|39827665|34914190|33493870|34593235|34066748|36168031|33799689|39408583|39378979|34143347|38598021|36903252|34607110|36174418|39042964|39617073|32197229|32865424|33323555|35743169|35416657|36116152|34190613|32797769|32105161|33812006|38734868|32462546|34859812|38015533|33068864|36274481|34613549|40076449|35085518|34562843|40137319|36232563|32511271|39459211|39697044|34027538|35533553|32612006|33513343|32706801|38823179|36232290|34752817|33419109|39823799|33039583|32884075|38865849|38936060|32063904|37522847|33182034|34639190|39591823|37919123|39515562|40180267
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.10759493670886076	17	34899728|34719112|33529908|35313270|37889079|39764991|37049698|34080298|38997762|33807391|39500084|38959234|36846719|39186834|36056072|33917440|33039968
COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.06560636182902585	33	38526139|36147634|38219853|34542820|31972392|34085751|33340782|39855827|39988171|38330799|32325402|32360484|32957145|37500542|35796909|40110966|35576655|37687212|39701796|34048833|36355019|34758440|38740341|40273708|36615494|39608062|36233004|34864308|33086122|34678721|40015205|37467946|38889492
