Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.07784431137724551	39
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.06702412868632708	25
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.0234375	12
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.004618937644341801	4
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.0035714285714285713	1
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.003472222222222222	1
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.002207505518763797	1
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.0021551724137931034	1
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.0015015015015015015	1
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0014265335235378032	1
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.0009775171065493646	1
