Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.07784431137724551	39	37072760|31902940|35917278|33471355|34020987|32969482|38364975|35237004|36948499|39963297|35839129|36544276|34314290|32963391|33428520|32184585|32986686|35941900|33985615|32062897|36244790|32053039|40027199|36457206|37231891|38056850|35249094|33450005|35083906|33966429|33030072|38926385|33276808|36155577|34735756|38171859|32726838|36543578|36849338
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.06702412868632708	25	40264968|37422022|35417422|33130762|35787363|39552910|34166813|35584341|32574516|32253512|35018538|32606654|32274780|38017156|33169816|39117326|32534727|38367996|39660759|34404129|37305000|37763808|38670566|38914469|33161756
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.0234375	12	39701060|32454914|33926668|38151258|37942820|39580112|35753737|38448179|38892850|38676593|37916600|38622275
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.004618937644341801	4	34277080|32374491|34197585|33338444
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.0035714285714285713	1	39366990
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.003472222222222222	1	38355502
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.002207505518763797	1	34605606
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.0021551724137931034	1	32000409
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.0015015015015015015	1	38449975
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0014265335235378032	1	40071272
COPD Treatment Cluster 24: Bronchoscopic Lung Volume Reduction Strategies for Advanced Emphysematous Disease Management	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.0009775171065493646	1	39404398
