Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.611731843575419	219	35417068|32418958|32232724|38736260|36266413|33168408|39418729|34212981|34170488|34385107|40131798|35346644|32007421|38224346|39586138|32991974|40263675|32852568|32723264|36242756|34023353|39306819|34833952|34116674|39531259|32856514|33882833|32271386|39368601|37000367|34207886|32602979|38539067|34390539|34939411|34066865|32856477|34311530|37392572|39689383|32933311|38850306|38581923|31909644|39085112|33924458|36662448|33389601|34486204|34226664|39146767|38091841|39126736|33161415|32116184|33232924|34558218|35517984|33275984|39393620|32380016|35959878|33839492|32597024|38880384|38331005|38825493|32341464|34562603|38953971|34189972|39706063|34275862|34725565|38776673|35551403|39983421|37831380|31965656|39496097|35455943|32945516|38692016|34474346|32902739|33131670|34800596|35098555|40054492|38857777|35305975|39268580|39873977|38899946|39357681|33215215|39074526|39636080|38823174|36456799|32707190|33318077|36203611|39116781|39393274|39964600|34037972|34462629|35762198|34445757|33588052|39431643|39128188|36950739|34561298|32788926|32857588|37815298|33208036|32866246|32398966|34350498|31915967|39560681|39305297|34599475|37939991|36117386|33507583|33346683|33666716|32759273|32029708|32111033|33341057|40111530|33976753|36929208|37849042|39337318|39827225|39687957|38466531|40263687|32540483|34606637|39135265|38740356|39337458|34410632|36173728|32048199|32158189|36456538|32882215|32147540|36430518|32192660|34823421|32712201|38308966|34385900|38482946|34414461|35728000|31930778|34065781|33621589|39501388|38244891|34510376|33132755|38172251|32545475|38446361|38997620|37589258|40263680|38943140|34471171|32330867|33185110|32531709|32823583|35142983|33178827|32736236|33053443|38981847|39563316|39306893|32946036|36206854|36810875|34919942|32044414|40158430|34448639|32351668|35815753|38700468|38557356|33361026|33264077|33237136|34884857|33884509|34182131|37991600|35911749|39495463|34081810|32448150|32871175|40187600|32406910|35469837|33523326|32434457
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.5014409221902018	174	34059078|34854902|35218740|32091090|38016337|31895874|35094611|32666079|32947021|36174269|35257900|33412929|35875677|36746094|33076703|33393629|36793978|31931853|36714196|34209109|32360620|35347935|39135409|39479765|31983575|37108307|36471955|34186099|33461916|32295417|34630411|34900083|38558330|39387118|33786624|32565337|36067655|36424111|39269451|37737929|38718657|34856183|33201620|39520961|35860249|36150521|34087352|34973597|34854591|37492875|38010869|32994053|38732029|32445957|33039279|31895870|39233210|39293311|34369166|33992512|33895158|32205566|34420187|34779341|39141151|32416182|33970350|38755351|32611559|39032281|34172393|37587550|38676853|33165140|35993316|38141926|32821285|32500743|34269908|38960011|33049493|32768936|39936024|32706211|32141988|36768645|33232611|32428778|39269452|32799709|38470222|32569018|34182114|36315163|32236255|39243558|35710877|40040242|36504212|31945029|35105294|34251531|34942656|32458744|36753488|36555579|38664575|32679014|32732517|39254873|35246052|33176323|33192051|33879070|38325261|34758632|37979015|33602971|35008500|32902737|36651514|34982438|35905799|32356107|34857118|33976384|36437552|32908939|35026193|33301454|40239267|34411666|35114347|38615891|32259820|36037627|33218940|33114632|35260820|34312998|32126319|36053470|39368019|34230951|38749748|39048980|33713178|32361904|36045525|40294468|35471811|33740522|37958938|32245324|37695292|39941147|38299680|35567558|33179122|34162215|33899541|32673527|35459397|32368966|36143964|33347820|39452874|33227452|39090468|31945610|34954030|32068091|32768933|33234094
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.07526881720430108	14	34216224|38833946|32896537|32223388|38492622|32378144|32476536|32324502|31960866|39969632|32998520|33232283|34057159|33235030
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.052830188679245285	14	38340519|38844252|39027945|39615770|35062054|35503137|32470453|36842218|32812462|33761596|33901999|34656062|35274762|32117470
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.045454545454545456	14	33597583|32896073|36007378|35900901|39425816|34636295|37114276|35863639|34231841|34840260|35053222|36835355|32069832|35056663
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.03912363067292645	25	31912910|38703273|32602371|34562315|34322808|32920515|35929638|37375598|34454174|38129126|38612535|35630804|34061990|32266443|36241904|32627257|34623620|34132689|32413916|32215169|32383030|39742023|32025748|34538161|35734936
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.023121387283236993	12	33392937|38754781|32308093|32945440|37150865|39891042|34452560|39817327|39321703|38951468|34397165|35051783
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.018544935805991442	13	32592715|34925364|34465804|33961006|34535716|34194542|33152345|39304109|34852377|40033067|36428172|33342002|38403334
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.018404907975460124	6	32323554|35744996|32679712|32750030|33165770|32365470
COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.017361111111111112	5	37406513|32403043|33125066|39762127|33661896
