Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.0529595015576324	17
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.03819444444444445	11
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.03017241379310345	14
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.027237354085603113	7
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.02252252252252252	15
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.022099447513812154	4
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.02147239263803681	7
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.011928429423459244	6
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.01050420168067227	5
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.00764525993883792	5
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.005788712011577424	4
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.0056022408963585435	2
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.005361930294906166	2
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0042796005706134095	3
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.0038535645472061657	2
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.0033444816053511705	1
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.003129890453834116	2
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.003115264797507788	1
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.0024813895781637717	1
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.002232142857142857	1
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.001953125	1
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0018552875695732839	1
