Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.0529595015576324	17	32034000|35862146|34818088|32079429|36521004|35589145|34636261|32453611|33163971|39507581|36364259|39730008|40132833|32286125|33112400|39805294|31949183
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.03819444444444445	11	33782899|33829907|35570043|32084648|39165218|37550026|37597163|32702783|37752305|34907856|35063502
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.03017241379310345	14	36017945|39482348|34872428|36335929|34135207|39311983|33094682|35257492|33153661|32303748|32022771|38235901|39492597|39632868
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.027237354085603113	7	35175701|33388431|35993966|35151249|37072270|33219344|35044674
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.02252252252252252	15	37315158|32732655|34919094|39188039|39644010|32057631|32603067|35715307|35839030|32559803|33413515|39692186|38968524|39216952|33228217
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.022099447513812154	4	38378384|35551902|39899366|33727192
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.02147239263803681	7	33030880|34847143|35180291|39505757|34961782|34916712|34989439
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.011928429423459244	6	36247103|32093617|38055565|32442101|37779397|32713857
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.01050420168067227	5	32553233|34239653|39281680|32081790|36639425
COPD Treatment Cluster 26: Multimodal Analgesic Strategies for Pain Management in Surgical and COPD-Related Conditions	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.00764525993883792	5	34679000|37268578|33253197|32567233|32928340
