Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.5309734513274337	240
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.3299565846599132	228
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.18232044198895028	33
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.08607198748043818	55
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.06415094339622641	17
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.04811715481171548	23
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.043010752688172046	8
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.03468208092485549	18
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.02982107355864811	15
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0290519877675841	19
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.01948051948051948	6
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.014705882352941176	7
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.010775862068965518	5
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.009852216748768473	4
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.008379888268156424	3
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.0076726342710997444	3
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.007132667617689016	5
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.006006006006006006	4
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.005763688760806916	2
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.0056022408963585435	2
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.003472222222222222	1
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.003115264797507788	1
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.0024813895781637717	1
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.002352941176470588	1
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0018552875695732839	1
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.0009775171065493646	1
