Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.5309734513274337	240	38199198|32751738|39303846|33167585|38878150|32093220|33672866|38391968|39125105|32109514|38006681|32940861|34401962|32146172|38117448|35532888|36760217|37978212|38768937|37110573|32916219|40151497|34607104|35349959|32559722|37921051|34098194|32768941|38757206|39117089|37417323|32635978|32070922|34299102|38823827|38893392|33004710|33582452|32603894|34884565|40167826|35154564|39183433|36214721|32353422|37640824|33122120|36723781|38740315|32502496|39069528|33809092|33150538|34314849|36142491|32744957|37326907|39241940|34162168|33808068|37047299|36209926|35684025|36862275|40014253|39283526|33249184|34681908|38968796|37182449|37466104|32332809|38500281|33925063|33378842|33877561|33212797|38325196|39459167|37872838|39970859|39136806|33907963|33476914|39642134|35061945|37295752|39608234|32028243|34153665|32032607|37895166|33755739|32708004|33008094|38063180|32964457|32490526|32811563|32449122|36771152|35067971|35683033|38460779|37300959|34297967|39094545|33923599|33609598|37562565|35772378|34535875|35730438|35549866|38931243|34817304|40090981|35059981|34309775|32556929|32599797|38893493|35274200|33113430|34235591|36002316|39815655|33046678|33988799|32147532|40054715|34944391|38043266|34445062|32037817|36464068|33121951|33494411|31930999|34255249|39795896|33201160|35657450|39928236|33197761|34998794|35668264|32198705|33266202|33166007|33523373|35342364|38526966|39275198|40141065|39922145|34478946|35120261|39126772|39141244|33054814|32348223|40038202|38320719|34104310|39930360|35822592|32311670|33916730|34963433|39981400|33821438|38551052|40016149|35745002|37579986|34774662|39905399|34284012|33549657|34329731|32326457|35457238|35293018|32522471|32210361|32703143|35364429|33228179|38616356|35841247|34208482|38704944|38067101|32279045|37446045|36838914|38654507|34428446|34315042|34159456|33810307|35714925|39608455|33374505|37098656|33232931|37137246|37039995|33673531|36364344|34478828|33946349|33786807|34052309|36615197|33783286|32977419|35410592|39630406|38599251|35216146|36462721|33196459|35056657|39795101|36478529|32867388|32152798|32324654|38048522|38040406|33652057|36447373|39213521|31968994|33186611|34102977|38732259|34279415
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.3299565846599132	228	35844057|36637150|35471556|33754046|32502596|33716091|39229677|35856853|38739183|32109509|33976387|31934839|33813082|38823456|32407958|36058290|32416676|37019307|39317688|36640710|38542084|40174341|36084697|33400023|35916986|33463934|37447181|32657248|36786945|40162334|32596368|37356121|35735022|39796474|39182268|35602108|31950453|38398662|32470450|33388350|35429577|32007785|37010572|33345851|32805443|36566971|32768464|32519268|39789118|32910356|32810514|31902919|38305108|34499902|35265083|37584822|38494527|38411775|34863679|32809175|34338970|39969702|39496685|38016362|35361731|37688709|36089398|38552937|33411101|33460769|37587811|36515030|31923823|40076239|37904689|40233432|38888378|38797312|36370200|35834964|39275311|31914858|37063929|36619719|33867836|32272581|38527023|32842681|32316571|32222934|33121995|32442902|36129348|35408995|39053427|32907361|35216083|33007731|40137280|32925968|39823794|34697562|38636801|36319778|39851546|35922734|36802956|34047285|38302802|32940818|33460611|32125844|32212043|38651136|34517275|36063295|38921546|36036213|38761855|39404842|39643234|33003399|35566201|32707187|37957210|34109563|33025396|37778192|35105686|38850784|35295720|34863710|37086342|35908626|32689608|36028734|36302150|39847949|32585605|33799861|31909440|38493721|36252498|39125680|39537043|32496994|33866462|40005082|36214710|39940389|38159376|33832914|37698590|37651874|35843304|34843079|35452626|39009094|33842985|32302948|33710529|39473153|33770729|36481976|33890948|38870884|34500010|33485068|37866741|39817970|37894998|38489082|33310816|38334676|33412146|32458309|35947899|32703256|38800857|35322143|40219627|37687175|33352239|32575562|33237143|33418303|32092434|34510375|35786120|35537655|39986195|39349219|34193669|33080468|36405721|38406792|34278533|40136674|32662061|32047191|32858128|37581474|39875034|36220002|34536545|38104887|39567010|39904032|32564011|39054118|32681941|33975618|38809507|40187596|38563150|39278425|36344527|40284180|33109788|36707260|37517461|34454289|38427168|38527567|39599739|35108588|39923584|33813829
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.18232044198895028	33	36985596|33556667|32169521|33025359|39467428|36339940|39106918|34281416|38835076|33182053|38542177|31902915|32443870|36949321|32473965|35538795|39492132|34038497|33964281|31900023|34420503|36768580|40123576|35993820|32767187|36747075|35986876|34638540|32643091|33045567|34409523|33388733|38823180
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.08607198748043818	55	38093452|38177566|36948107|33215875|33538532|34294378|32199213|33860897|39795983|34577062|32866545|34368872|36947333|33270442|32919189|35525350|35235758|32040722|34173963|39044287|32881150|33882267|37735290|35286533|32705179|32215908|32971212|35060131|34572088|34688832|32115816|34121036|31897969|39672027|32240450|32650596|35092409|33400182|35563575|34016350|33038355|40069873|35895244|31918011|33106919|33894213|38608332|33802143|36650404|34392569|32770144|37574162|40253213|39607970|33099738
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.06415094339622641	17	38279349|33517190|35414346|34743981|32019145|34542667|32652268|33709562|34281287|37156314|32659952|40022819|39828394|39818089|33722183|31911245|33548579
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.04811715481171548	23	40149988|38211804|33504293|37165502|32688141|36122597|39126572|35780924|38732097|32480228|33165817|33804766|33182332|37844366|38796217|34808701|36901731|34355225|33207780|34361637|37446262|36557903|34516952
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.043010752688172046	8	36007603|36806583|36677800|39724731|38394727|39729251|32596762|34021869
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.03468208092485549	18	35649147|38326384|37478963|38226733|39275349|31905925|33705733|33352403|39331354|39125389|39362015|37047062|35287559|39842140|35705003|37812891|32712090|34509715
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.02982107355864811	15	39661568|35153246|36682173|37768122|38091077|38687877|32520551|36334782|38815349|38631571|34347307|35065321|32926927|36220097|34299559
COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0290519877675841	19	33049496|37308175|32173634|32450671|33596416|36048344|34352338|35234314|39756970|39683751|32648872|38951153|35094261|38892206|39752756|32460188|32297823|32682112|32337955
