Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.2710413694721826	190
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.2531969309462916	99
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.12903225806451613	24
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.12385321100917432	81
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.10759493670886076	17
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.09441233140655106	49
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.09027777777777778	26
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.08823529411764706	42
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.08679245283018867	23
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.06237816764132553	32
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.06134969325153374	20
