Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.2710413694721826	190	33035664|33247181|34942082|33108669|38828613|34716913|33679130|36190276|32724492|33004468|33767693|35218567|37984595|36754230|35110509|34774977|35289673|32689851|38147543|39048393|36525236|39488916|32014819|40277942|39445009|34374483|36768679|36170837|34368012|36753045|39837393|32870351|32536917|34488536|34884813|37686399|38130726|35457151|39116494|32008371|32916780|32422509|33178206|40170079|32132640|33486199|33380609|33523585|38540774|37606909|35802903|40308575|31996019|34281170|38252549|32660060|32198236|36335714|36348161|32345869|35769456|33721106|33385856|39569063|32958247|33924175|33042158|36446152|32092903|34797495|38247856|32562787|32469940|32187551|38092095|33579029|34492551|37290322|39900564|34326200|33746053|32018067|34628164|40005295|33460629|33171305|32655565|38191941|40204883|34265210|36119106|32251678|39855372|34093566|31891674|36468184|39680334|35212163|37080068|34573418|35146757|33121515|33999661|40021201|35925682|31926447|32508811|35045920|33568729|32348214|32132672|34140956|36195887|36077532|36275768|36008456|35022732|33717109|38349660|38549144|34917096|38684986|34884797|33864815|32528468|32253314|36394754|36443294|35008007|34496636|39393436|33406229|36805859|37709227|34587166|36122633|34548620|33867819|38178560|32205444|40275702|36671569|34299256|38445290|33706396|36598593|35840658|33953722|39778276|31987604|34418127|33637832|37116732|32564786|40121226|37423172|33405021|34177942|36776885|34281285|34810124|33984485|40250001|34742326|32433037|34925343|32269562|32755990|36353645|35116038|33298374|32870976|33536439|39848591|36087614|35444957|37119907|35980936|34431396|39762193|38176116|38071218|33025767|38862076|33912195|32383167|32350353|40096816|32193360|39286259
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.2531969309462916	99	35902007|40298991|37364330|36209190|38986982|32126500|34287854|39471736|35596191|34589085|40026332|39697032|35489648|32912119|36757290|32264946|39181280|39591828|32762560|38751128|33454984|32529661|40033742|34649343|38203690|39991071|33424852|37815809|34970075|34712740|36309378|39063011|34053236|36070787|33885157|39541844|32383029|35880175|38581996|38340550|38970263|33767697|32535666|37997800|34710157|37706441|38007702|33689880|32520577|36877073|32705282|36769133|34564825|33930030|38193090|32329869|38692075|36534584|34937173|38470034|34036366|32353952|34045461|36116250|34920958|33868288|34582846|38603717|35428807|36840553|39155123|34195274|34042207|35928365|35618202|33362713|37105771|37930383|33769524|33613547|35908899|39395379|39059098|40223326|35572539|38516767|31932743|38066526|37481378|32004976|32726497|37266425|39637948|38272980|33072121|36335445|33420893|35059921|38129906
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.12903225806451613	24	33534121|36788033|33080044|37446038|33770730|32193102|36037361|37622701|32071170|34565184|33351619|38614373|32791926|32855848|32750036|35877745|32667050|36203607|36087761|33636340|37182452|32173167|36107371|32703754
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.12385321100917432	81	37175961|35072290|34696447|32985737|32931836|33299377|34429343|38070618|34288827|36288391|34062536|34354703|34831393|35014685|33174138|35622407|39078878|36706425|32635910|38504371|35807282|32845434|35011295|36233122|33737667|38003458|32157318|34786659|37762690|34649344|38238297|38940849|36362234|36435037|34884807|39261086|32634441|33385711|33378972|35861957|33034827|39874055|39565500|33474811|39869505|32939034|33098506|37499907|34638546|34250933|39317054|36812774|36292625|37855266|39042159|37119392|39179331|33013823|34813996|36976180|35013938|37962585|34058438|32542754|39451220|37352108|38029502|34508746|35045357|34453228|39690962|34247099|32335479|36723392|37177863|32901521|33600498|34311536|39475317|32622203|32901894
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.10759493670886076	17	38921772|34169410|38892350|40254874|33309240|32630206|33616153|36142638|39353971|36753088|40176059|36312752|33561644|33556878|35251010|33227711|38191432
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.09441233140655106	49	32171180|32363436|39116500|32377724|32304006|33833850|34038745|38170019|34323413|38426629|33526513|33247701|38867291|39191849|32965243|32749001|38372616|33068426|35100092|38973614|34885648|33183007|34018609|39534554|32485216|32396937|31903879|34224739|35657974|39766311|31914652|36638942|34792186|33787860|32060587|32485356|32212848|36675083|32433558|34315133|33157413|32964957|31994797|33023946|36635966|37981009|36248834|32222493|33396282
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.09027777777777778	26	38642127|34781139|32660168|34709129|32250648|33343575|35454123|35886961|37061809|36835120|37770649|32592030|34162162|35948810|38077342|39195259|38649128|36786742|37846971|32493859|33303271|32434249|38972611|32940719|34964708|33852076
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.08823529411764706	42	39146765|38423898|39566561|40047902|32706084|37597799|33117385|34798417|32667867|37814148|38781107|36139138|36244408|39247182|37569801|32754154|39278056|33482175|34067872|31993863|33063247|39177291|36142384|38383323|37524227|33540826|36561754|38908085|32065089|34559862|34768764|39852971|37493797|33431669|37263257|32068245|37192551|34426748|33010213|38054927|37905969|32486375
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.08679245283018867	23	32019593|40004134|36150345|32364405|37240138|32107314|31977315|39217887|33022739|38914383|34360006|34922694|34954283|32504834|38626549|37544647|33923873|37119975|35477552|39762719|34326232|36293281|38173374
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.06237816764132553	32	33557743|34276229|36980265|33529911|34405339|38888974|36662576|34181859|37979051|33115852|36724932|36394807|38931261|34439773|36844232|37742814|32811643|35177474|32251959|34741083|38958812|39293854|37009718|36260509|34238943|38538755|35789409|32120846|35732904|34352260|38603862|33922158
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.06134969325153374	20	35663935|34400718|32321863|33362766|32239741|34635585|33220278|32937985|34606846|33304347|37751656|34064436|35008717|33275302|33029092|40090625|33815268|36045466|32173875|35147530
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.05844155844155844	18	32648929|34740032|32493196|36948135|36246892|36346457|39471690|32313039|39803918|33385371|33907915|32526588|34093565|34601004|35684160|32736674|32004418|32059381
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.05475504322766571	19	36697439|39224974|39699771|39040119|33381228|33239616|33114406|35630678|38772883|35533891|38256027|37364787|34829992|33480337|32888229|34609505|40198469|37357772|37578391
COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.04748603351955307	17	39329752|35301174|35862007|38750502|33452697|37586299|37849783|35987478|33636560|34089132|37918257|38422218|34109585|32152197|36759072|38627574|37358376
