Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.67601246105919	217
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.1811320754716981	48
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.04381846635367762	28
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.026881720430107527	5
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.020460358056265986	8
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.009940357852882704	5
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.008403361344537815	4
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.007707129094412331	4
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.00764525993883792	5
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.007389162561576354	3
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.007132667617689016	5
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.006944444444444444	2
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.006276150627615063	3
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.006134969325153374	2
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.004310344827586207	2
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.003246753246753247	1
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.003115264797507788	1
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.002881844380403458	1
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.001996007984031936	1
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.0015015015015015015	1
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.0011547344110854503	1
