Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.67601246105919	217	38195573|32764271|40243751|38035992|34983531|34148304|32899913|34031696|34504408|40186900|39625491|38204272|37371050|39180672|32574971|32377532|34585338|40112596|39230094|32939821|38785317|39621091|38006352|39659578|33984362|34560082|38643451|39764683|38889644|34272803|33207690|38052408|35387262|39378657|33197759|37437378|37536613|37807854|40185468|39034431|40022820|32534015|39442279|32348836|39744177|32555441|33882723|39173271|39082739|39814584|36498913|32066115|34937916|40033940|32919218|35079027|40292440|39955920|33141376|39009291|37786577|39788524|34980736|37615049|38582345|32321337|33186157|35995378|36731435|40080973|32506648|35174923|32204978|35429817|32144527|38105186|36177678|33565369|39694243|37395484|32893233|35643195|38753047|34619498|38479315|33667999|37975510|39706044|37678318|39648664|33007969|33846468|39111378|39243436|38139208|39954658|39218341|37338155|37068203|38214881|37923157|39023831|33719572|31924826|34536756|32987947|32260474|33481164|33045566|32631974|32626733|34649332|37244046|36296715|38943973|34674317|39566909|39978709|37256739|38115227|39952007|40076982|34426252|32730835|34532973|36572206|33007311|33761621|36650620|34246189|32544558|38679120|39921194|39709905|33705297|34607108|34506776|39486459|32519758|32439965|39743782|39179193|38995282|37928533|35034880|37667547|36204787|34654783|39344015|39400714|38138443|38759568|35251472|33936050|32622666|38202790|40134036|34526554|34678223|32529628|32696548|33649800|35034874|38715182|34491152|39579210|33612466|34827612|32303280|36202760|36464492|38585532|35637614|32344355|37392573|39983765|33957564|38141891|38884262|32198879|35668155|32603817|35304324|32157347|38986300|39405939|40088868|36269313|39769037|33155167|40112601|37341944|31900517|35016879|35306426|34030796|36215883|32572732|38555397|34624679|31967489|38338779|32474084|31974740|32342136|34815794|39893521|33244034|34097094|33975771|34560548|32044661|33628387|39265353|32338107|38413451|36593372
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.1811320754716981	48	39133777|33171189|34198937|38907737|39299095|36190633|38631983|36232514|38574626|32064988|34933643|32997272|40243749|38741398|37224990|33631230|37120126|32707499|37658280|38418620|31896157|38725211|35023522|33693955|39717904|32446112|35434832|32471207|32359778|32887916|34437430|32299536|32668632|38092315|35942573|33182074|39923228|34278446|36496522|33784603|31970441|36094559|39348649|33478014|35083999|33562139|37391330|39019617
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.04381846635367762	28	34450401|32898663|33162346|34628148|36270409|34029542|37943844|39727379|32447466|32415495|39586748|36198566|32358665|38319388|33530773|34686330|32364275|33278595|34571403|35092471|39356319|39431839|32750447|35777450|32916975|32734364|37732939|32222637
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.026881720430107527	5	32879619|40086055|38402931|33645317|32858047
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.020460358056265986	8	37440431|35026488|33488946|36985731|32348434|33287398|39008938|32564182
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.009940357852882704	5	32453565|33344651|34365580|38469058|40042100
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.008403361344537815	4	33839296|38772297|38809334|37057668
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.007707129094412331	4	35672933|34542202|38160566|33039956
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.00764525993883792	5	32504995|38182871|39671726|32418911|33677255
COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.007389162561576354	3	38458480|39581143|34187292
