Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.36688311688311687	113
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.15849056603773584	42
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.14553990610328638	93
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.13179916317991633	63
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.0949367088607595	15
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.07563025210084033	36
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.06157635467980296	25
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.06051873198847262	21
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.04816955684007707	25
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.04513888888888889	13
