Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.36688311688311687	113	39432066|38791541|34517131|36419211|38674793|37175211|38505970|34297028|36967237|36145139|36768438|38674936|33572368|32085416|33989665|39593250|39535172|36555696|33266499|34844584|32007794|32555600|36615882|31929574|37309834|32351446|32630697|32397353|37838014|34025683|39519540|34237596|38499443|37996669|34470535|34333285|33498671|34400258|31973745|36752775|34373409|38141556|38198796|36296991|39795230|36234919|38202671|39359053|38520487|39177077|38937879|34107347|35769088|37659446|32454412|34411715|32830548|32455840|35373658|38436058|34360840|34242511|32316851|32762381|34769261|38198422|38193635|35982452|40076293|36235638|35001410|36767041|32542628|32394023|32430973|36048868|32580157|32994275|35977667|32599864|32535101|32201217|39120264|34974166|35934271|36235679|35472833|35904170|39271172|33143330|35257898|39064738|33799840|36674687|32531999|32911073|33844985|37108217|32712089|39861354|39451185|33809891|34825416|38088361|32450208|35905940|32814232|34037093|31905682|33371944|32966124|32260262|33673390
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.15849056603773584	42	35807304|35164292|36315027|35988103|39844306|33446235|39604705|39976785|39324977|32028957|39143432|38482590|35470646|34806528|33016104|38930859|36653816|32147058|38673858|32900249|38311861|39229715|35173531|36918798|37658968|33445213|33147748|33081260|39111146|39938166|36233341|33347772|35447934|33546300|32046403|32008354|36364178|34836227|34191703|32998300|36395709|34393993
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.14553990610328638	93	33599340|33467066|34343894|35653936|32492491|32640333|39778903|33548025|34960004|33864286|39053423|35203265|32176565|32569592|34537923|33586041|38099459|32921696|37246941|32307422|34655018|33675893|34579147|36351033|32781062|36431836|32512468|33424436|32035219|36158887|34500818|33112766|32061149|32046055|37570837|32460430|32093046|37866152|34529223|34326917|32033839|32486484|38679123|32402895|35648977|35014039|39541750|35691840|34360990|36230942|39983332|36124858|33940031|35270014|32244563|36774757|33861438|38869910|33339407|34753368|37239865|33000400|36498228|34275830|33993091|33143013|32298156|35359208|32479380|32967526|38894623|39380085|32590067|39217594|36106708|33538613|36862292|35436749|34769482|38935918|37960305|35996050|35457199|34911286|32750537|38443203|33160067|33714284|33578233|36904299|36804260|31895993|38561608
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.13179916317991633	63	32910944|36800847|36235818|39770075|33513799|36087706|32565301|33511924|39632602|36641954|33572056|33862491|37604855|35170723|38201900|34896589|34189658|38675719|32906619|32424181|39062550|36753375|33378775|33745762|38633251|39420006|40180626|33043925|34959821|39849793|32370045|33669729|33291808|33368980|37036026|32740173|39064764|37429407|35056739|37271425|34478032|33233216|38922526|34171156|39306993|32229652|39275022|33806754|38098043|36144744|34287272|37488250|38768871|36253765|34073184|35657053|37497225|38980796|33755227|38732529|33291743|33367423|40036328
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.0949367088607595	15	37119746|33735887|33199234|36031720|34331693|32844417|32400326|31968635|32867199|36661723|34521398|38772856|38404089|34173676|35286946
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.07563025210084033	36	34256373|34299655|34962122|39411832|38607587|34677429|34072678|36235567|35959908|33466247|33107698|32075287|33080891|32726657|38987758|36613560|33314993|32982183|33583108|35745226|35831667|33213976|39656417|33581247|37768015|34754179|33441127|34378053|33632046|38105560|35476890|35139345|39150414|32268861|35057447|35268033
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.06157635467980296	25	36297069|36005503|39942757|33428138|39884631|32699185|33807621|32824993|35469998|34453990|34436275|37836436|34685736|33923174|39467697|34024889|34066903|37491256|36442715|32693144|33036205|36297084|37892516|33898285|36067582
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.06051873198847262	21	32212849|32898315|32631202|40054182|34641380|36882117|32629758|36473629|35761591|37485775|40049368|34471643|33961852|37100219|36537558|33689882|36187334|34769353|35941413|38890092|32090592
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.04816955684007707	25	38141282|36291546|33970218|34988929|35743146|38999803|34836091|36181395|39180369|33861433|34994825|34749615|32753008|34571370|33321760|38761422|34736076|33656766|32806520|33360051|34003526|34195260|34358533|32067269|35984029
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.04513888888888889	13	39108992|37661762|39936561|35504204|38301869|32026188|34085881|39271038|34228268|35986353|40042160|37493562|35010943
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.040948275862068964	19	37673136|39494953|36219290|33378951|36934613|36152538|32052721|38337691|38237611|38060042|38444115|35013033|37081029|37866427|37414746|32650839|33524802|39138615|36333811
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0382262996941896	25	34562582|35809274|37189372|37111042|39798627|38150963|36345758|35653021|38931278|39165222|39234999|35244638|35700582|34749338|33809242|35369768|33202696|35294604|33966185|36357780|38280540|32971852|34910341|35831736|31942828
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.03777335984095427	19	39519244|34732634|32090598|37965267|36796555|39863220|37021469|35735162|32172783|37322603|36615565|39225206|33838430|35107883|39312371|37676407|32298152|32966476|39977279
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.03225806451612903	6	32692879|33399849|33668991|32464325|33904675|36555392
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.028761061946902654	13	36028179|39563658|34000462|35062074|33615581|32455600|36043770|38674812|31964153|33776997|39648516|34507113|39340661
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.028037383177570093	9	38873767|32682376|31929738|33861983|32449276|38935212|37483634|35570539|35797719
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.025677603423680456	18	33493966|32048267|36744753|37126739|39000175|34365061|32785827|32570911|33370631|32656558|40043936|32847014|31907365|34371873|38146226|40024215|35988262|32698152
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.023017902813299233	9	37569540|34246059|33204401|34371879|31959476|32954879|36656591|34575863|36105322
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.022099447513812154	4	35873799|38432599|37864981|34865233
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.01855287569573284	10	39128189|34253565|36477991|31976547|40244191|32349426|36099786|38018589|40170075|35780256
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.018404907975460124	6	39222244|34687725|34078952|33126566|39592057|33276284
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.01680672268907563	6	39851237|33212789|33738897|33274899|31981960|35575874
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.01557632398753894	5	32039641|35690654|32871462|38968951|38139257
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.013966480446927373	5	39599723|38292716|39090754|32825327|32515469
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.01364522417153996	7	33221170|38273268|34024569|35353942|33566171|35796922|34751914
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.013024602026049204	9	33135223|34361062|35665873|32727335|39023419|36027691|36775042|35532615|36385213
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.011673151750972763	3	38019477|39121608|39513459
COPD Treatment Cluster 2: Nutritional Modulation of Inflammation and Oxidative Stress in COPD with Comorbidities	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.011160714285714286	5	33406943|32653511|38474248|33121019|35738178
