Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.1165644171779141	38	39255608|34514981|37179037|37110650|34071141|39675096|33592148|34162145|36576262|38653152|32361486|35717582|38057319|34464816|38761708|39486113|33348757|35807316|33813964|34191664|33872924|33129592|36235124|34818572|32741915|38930898|38797495|32601404|32238055|37962049|32045233|32361295|38542945|38691908|38941697|38447765|35417776|37976708
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.1092436974789916	52	37558232|35860526|35364361|38430971|36166898|38219479|39270454|33210441|34137625|38237344|32275103|37157211|32205045|36263907|31984886|36362349|34628990|32990169|38615474|37418786|37158602|40126877|33454546|38939991|37594099|38709458|35688178|37160667|37918036|33767180|39452841|40141429|33236262|35301943|38613187|32503692|37086660|34677471|32208222|34944476|35469631|32707925|38960027|32957875|40069300|34002330|34953394|38913497|34847479|35877758|38494644|33991630
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.10337972166998012	52	38219658|32042329|33297331|32688115|40216147|33712283|37489910|38138574|37710969|39295510|32162512|32554280|32062065|39965537|34818331|38056388|33865830|33257004|33010447|35328634|37257256|33241445|33255197|39576272|37918185|40135521|37997807|38852251|32115728|38542826|38720202|34492330|37513351|37511275|39014146|37569745|37686088|34794001|35414151|34064702|33161252|31918397|37948775|34067242|37758018|33015829|38677560|39367036|39413443|34648292|39057413|40007404
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.053763440860215055	10	39317006|39756202|40112040|32782316|38185013|35906000|38751194|33845232|33803783|33332136
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.038535645472061654	20	36274275|34044539|31967866|36693436|36903660|40153932|38759452|34284695|39631651|38675620|38678538|34885960|34698995|34270254|35944853|37815017|33914261|38484677|34303896|34906762
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.03281027104136947	23	38563549|35429909|32191459|36668867|39764922|39134162|37481883|38643690|40037062|37130331|34374541|34138563|31934767|39653633|40037063|39644263|32330496|33045560|38722184|32445869|32534343|34468278|39878051
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.03115264797507788	10	34329734|37925088|37186543|36191430|39589670|33239334|34279399|32618021|36074734|37126195
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.028169014084507043	18	40066707|39561496|39159555|33498831|32510253|32866756|32629287|38797075|33249284|39900838|35163154|34077833|36435980|40073597|40122473|37971604|38127429|34443516
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.028132992327365727	11	37660652|39556713|39159715|35908356|34628233|33065432|32916382|38474447|34403978|39699557|39847693
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.024464831804281346	16	32892073|37373544|38858336|40054723|38417344|32745758|35247379|40125948|34677460|34474272|40125628|36689364|38998940|34390826|39702874|39718057
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.01882845188284519	9	39377873|33921719|35217033|31908155|35268778|39178707|34738126|32127262|39764767
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.017699115044247787	8	39598743|38865609|39158934|32276316|36296574|39202843|35367709|33676335
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.01675977653631285	6	35038424|34243075|36288667|37703787|37116562|36170566
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.01240694789081886	5	35466877|39406118|36029362|38253385|33557646
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.011673151750972763	3	39073417|35429318|39715348
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.010416666666666666	3	38588405|33031798|33454504
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.00974025974025974	3	40186327|35060744|32481556
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.00927643784786642	5	34821145|38913701|38896548|38448389|39275092
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.007389162561576354	3	32397326|33322538|39736286
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1	35164164
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.005988023952095809	3	38123809|34890996|32927723
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.005859375	3	40271403|36516520|37193653
COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.0056022408963585435	2	36326112|32371335
