Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.037109375	19
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.03348729792147806	29
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.029490616621983913	11
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.01293103448275862	6
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.011695906432748537	6
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.011037527593818985	5
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.005988023952095809	3
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.004887585532746823	5
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.0035714285714285713	1
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.0019880715705765406	1
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0015290519877675841	1
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.0015015015015015015	1
