Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.037109375	19	37282526|36072633|34655541|39420338|40135314|39743657|35057598|35527239|34664836|37297746|38292138|36575527|33815843|37742537|33149567|34967655|39838920|39925228|33116458
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.03348729792147806	29	33522249|39588082|40169096|36207954|38887682|35323052|35422024|35039513|33863912|36336743|40252175|37017626|38509685|37180752|34452971|33610139|33306188|36615032|34430131|36480848|38813999|38397432|37509614|32634428|38941760|36470149|33314947|33795322|33726828
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.029490616621983913	11	34319579|33569990|36965590|33612668|39389522|38722752|39737506|32345761|33145785|33422241|35723554
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.01293103448275862	6	37378066|39458140|36198721|35207460|32248190|32643439
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.011695906432748537	6	39688360|37524492|35508331|39870144|34069899|34434103
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.011037527593818985	5	39983766|36919064|32324981|39213002|33177818
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.005988023952095809	3	34640560|40289932|37696312
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.004887585532746823	5	37163759|39625645|32179613|37411039|36979411
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.0035714285714285713	1	36949977
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.0019880715705765406	1	32041601
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0015290519877675841	1	33603353
COPD Treatment Cluster 32: Comparative Efficacy of Triple Therapy Regimens in Managing COPD Severity and Exacerbation Frequency	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.0015015015015015015	1	38582877
