Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.37732160312805474	386	36608590|39172905|37201652|37695863|37947914|39039850|33326912|38573590|37763671|40234295|35490984|36640900|37604771|32387130|32101459|34028270|36749583|39891210|35319981|39310101|32678753|39893525|38056888|37282760|35706141|33658578|36828914|38585534|39125750|32463796|32196811|35610240|39608502|39427187|31988027|32159972|34852269|37642665|40293593|33826881|38420994|33005288|39548320|39337534|38227123|33760647|38312033|31935487|35814272|37988864|33116455|36696799|37348121|37850547|37524486|32337921|34982651|34103911|32060059|35571237|35134750|32824775|36787195|40056974|35658207|38786103|39786880|38561090|37864932|33590951|33444514|32758293|38247455|32967225|32336666|35215330|34367144|35855746|39965386|37390709|38193533|38740599|40095970|35142480|37229441|32569331|32861794|36221429|32992869|37976469|37917370|33180507|38717532|32057805|33017650|32812458|39160214|38317159|38982052|35340205|39382594|34168078|37200921|36495695|39137524|39456887|38685507|37384771|36646720|38420801|34733115|35833632|38214374|35313881|36758856|34953943|39854548|35763349|33949204|36167278|35523108|36719470|39738585|32270742|34075087|36176212|36796505|36223404|40016465|34389351|40116420|40154578|36401446|38609738|32652854|37154390|32434654|38622983|34327862|34405230|32186768|34773846|32230838|38191199|36724365|33110061|32278128|34524572|33236768|36676790|36541900|37454739|34405719|36031573|36097398|32051346|34463851|36690317|38712445|40243422|32819230|36226596|32387680|34802946|36883061|35439594|39708983|39531905|32722945|33959951|35454172|34681202|35512853|35269890|35002229|32496983|34559883|37524488|38229325|35705209|37627282|39577220|33145838|39571512|33107733|36881560|38791100|35412858|36231077|39273437|37116776|32694733|37811632|39166923|34125142|40141187|32921648|33790539|34218218|34282696|36201635|37562641|40259209|33567636|36729048|40305997|34142873|35129068|37254460|39765809|35338433|34105356|32197047|36882376|33076918|37828646|38740326|38740363|34402290|34831082|33096317|36729089|34287647|37008007|38036089|34649347|35343564|38534765|38337717|33068589|35631392|39587604|34133911|32504553|39738731|32407869|38158123|33174444|37219322|38534319|32337250|34017341|38127201|37517999|32992527|34865568|37816708|34040365|36934848|35687911|39527303|32008357|38954261|34280336|34354348|37072558|39356034|33719268|38873983|40164657|36807882|36670131|35978930|34799662|32558592|39499257|40253907|32021140|37838700|37250981|36218263|34137477|36339716|38503017|34428598|39772929|35107033|38468259|38110986|37357536|37473712|34818056|36012176|36943093|33129351|38946043|37038544|38587806|38794746|32084204|38652339|36319097|38733722|33659010|37581495|31992280|39254870|32201430|39493366|40214820|32475100|34405962|32186760|32795541|40269617|34033525|32328949|34031755|35686365|39260748|32965595|35453536|33336605|32643535|34021254|40114310|40220490|40191265|38483764|37353982|36216328|35035670|36674183|32106619|37698245|35027472|32369442|39010219|38354831|38555190|33759577|33798693|37957534|32357262|32253400|38214520|39147413|37963864|32504994|35993327|34848800|32145584|32164488|39694936|39799015|35059736|36996530|32281359|39064168|40088608|34925689|37078230|38332218|35763864|38372090|40195669|34740097|33436065|38139192|39063022|40007378|40081284|37801050|33239003|39423200|34044325|38108121|33612710|33628371|36080309|34354793|33435568|37201674|39906523|35853985|34769496|32163308|36191777|39786888|35163440|37734525|32655557|39164594|39113033|37700931|39617211
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.09746588693957114	50	39978136|37922034|33557843|37847710|38213144|36902466|33749082|33686898|34203121|32754156|33977840|33426936|33191175|33158942|35563373|32574817|34226988|34580585|32887484|33423293|34789559|34684415|34684676|38833845|32637364|31962155|33899316|37044313|32330145|33388351|32135270|33214087|37154874|34774659|39255033|36109087|33303535|38310669|33000187|32505095|37094451|35926759|33788189|35638643|34984603|31995344|32938247|35419163|33673372|34440900
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.075	21	37779147|33687943|39287960|34049183|33509772|34963421|35034433|38945459|38881505|37207649|33784296|38399695|38635003|33230454|40019889|35239513|38811970|37164760|37569672|34435047|32754134
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.068359375	35	36707463|35761394|40076806|36584569|33757521|39052574|40076807|37108390|35306993|40058223|33065789|34250959|34625605|34775946|32054512|35725505|33302350|34984001|35002228|35681492|38044058|33595976|39300523|39185405|35309178|36145202|35856251|33819471|34438230|36839377|36628554|37904708|39289244|38710754|33182057
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.05389221556886228	27	37077349|32916267|35894459|31960166|33554955|33408088|36933786|39134813|37587649|32616814|37524489|40001200|33574976|32663413|35104244|39408941|33003557|38850292|33920534|37396201|34276045|33279618|33494436|38295461|39578839|35187885|38821413
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.03002309468822171	26	34403689|36115169|37991539|40278279|39312447|37892438|36815056|32547029|35977691|36113365|34415848|33273811|34214692|33812998|38986985|37967760|36828646|38387446|34260036|37316689|36532019|37375645|37369514|35319068|40292512|34102190
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.023121387283236993	12	37735964|36243856|37009796|38003276|34115899|39601876|38203250|37884583|35986533|34666758|38524397|37772372
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.015625	7	36346611|39354366|38345545|32522666|33669352|37909122|37566772
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.01545253863134658	7	38983436|34801026|38279503|36660388|40066199|32058928|32665945
COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.014265335235378032	10	33616615|37811856|32216447|34918391|37832501|34258270|34862257|38941663|34182323|38108546
