Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.030303030303030304	31
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.017578125	9
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.010714285714285714	3
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.007984031936127744	4
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.0076726342710997444	3
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.006622516556291391	3
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.00646551724137931	3
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.005964214711729622	3
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.005847953216374269	3
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.005361930294906166	2
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.0049261083743842365	2
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0045871559633027525	3
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.0041841004184100415	2
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.0038535645472061657	2
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.003464203233256351	3
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.002793296089385475	1
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.001564945226917058	1
COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0014265335235378032	1
