Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.06958250497017893	35
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.042801556420233464	11
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.03125	9
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.02252252252252252	15
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.021806853582554516	7
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.017369727047146403	7
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.01680672268907563	8
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.015337423312883436	5
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.011764705882352941	5
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.010954616588419406	7
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.005780346820809248	3
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.005763688760806916	2
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.0049261083743842365	2
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0045871559633027525	3
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.004310344827586207	2
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.003115264797507788	1
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.0022123893805309734	1
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.0020920502092050207	1
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0018552875695732839	1
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.001447178002894356	1
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0014265335235378032	1
