Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.06958250497017893	35	39960354|38242239|32023064|32023420|32962838|35014252|35973592|38897491|35595933|36031671|38593309|35000165|36675021|37848623|38792071|40281236|34162091|31988035|33961138|33878358|39245532|33011477|37844532|36364138|31982791|34022703|40187701|39757237|33271858|32763529|39731701|35261304|34665836|33406837|31927039
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.042801556420233464	11	34515606|40010157|39345034|32278830|33166449|35894784|39427700|39728145|39161359|39396655|38158473
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.03125	9	32105668|33080875|38825267|37119900|33891495|32090096|39617282|39800191|39818363
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.02252252252252252	15	39413968|37690450|38589911|40123563|39560334|39326843|39312950|37951316|40043911|32434164|38113826|38735632|37545873|35081433|37681640
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.021806853582554516	7	38742423|37939382|38257293|35952772|38901831|39422559|33673414
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.017369727047146403	7	33253580|39627850|39799610|39181296|37678476|39891123|38724967
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.01680672268907563	8	37108462|38087641|40104970|39953360|39087920|34579905|33579443|39746583
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.015337423312883436	5	35637203|32042330|33289225|32762277|39425885
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.011764705882352941	5	36709804|32708987|38123572|32061843|32364036
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.010954616588419406	7	39776028|32980138|34349508|37255094|36349821|33164160|36549402
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1	33184457
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.005780346820809248	3	39235160|35217072|36331676
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.005763688760806916	2	36718193|34299106
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.0049261083743842365	2	34237363|40202075
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0045871559633027525	3	39300144|33800110|35660744
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.004310344827586207	2	33382789|32023579
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.003115264797507788	1	35049408
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.0022123893805309734	1	32294615
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.0020920502092050207	1	37504939
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.0018552875695732839	1	34616144
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.001447178002894356	1	40058719
COPD Treatment Cluster 35: Nanoparticle-Encapsulated Dexamethasone for Enhanced Ocular Delivery in COPD-Associated Inflammation	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0014265335235378032	1	33880383
