Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.3333333333333333	96
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.20253164556962025	32
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.12075471698113208	32
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.015414258188824663	8
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.012552301255230125	6
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.011928429423459244	6
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.011764705882352941	5
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.009985734664764621	7
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.009389671361502348	6
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.009174311926605505	6
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.008403361344537815	4
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.007782101167315175	2
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.007389162561576354	3
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.006006006006006006	4
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.004341534008683068	3
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.004310344827586207	2
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.003067484662576687	1
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.002881844380403458	1
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.001949317738791423	1
