Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.3333333333333333	96	34806726|39528175|38734278|37759420|38711313|39036852|33690953|34438004|34801680|34356652|37602380|37802452|39121609|36195572|38460114|38598619|39547016|36309190|39846724|38611703|32046094|39312099|33321640|39724946|38218551|35589470|39007499|37906511|39914510|38272431|37828599|32519875|32335311|40088977|39467666|33895199|31981705|39390421|39453503|38724834|39514958|38647236|38170815|39425636|37097124|36675268|37951186|35728636|37511590|39479988|33246825|35714899|38529805|34127225|33278439|36078148|38026522|38982446|34898167|38150512|37421764|38847838|34472332|39102924|39864703|35332672|36768397|35527149|36906372|35500813|40157113|40068713|32204113|35563319|39437818|34070166|32221396|35067057|37925607|39134289|38934381|34699950|39106821|38253143|40244338|36613833|38509840|37875922|38810855|35830083|34821919|39884131|34534578|33112351|37673414|38359334
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.20253164556962025	32	34360988|34420748|38652969|39214008|38899855|37524282|37919857|37356699|32901057|38110929|39005956|37717805|36890400|35064410|39930773|40005119|35474147|39798637|33495449|39895157|40171616|39072701|37852940|40075491|36594408|39874868|37608819|37187300|39571840|38970482|38507263|39273327
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.12075471698113208	32	36167814|39143532|33176621|36280221|40022821|39333183|33172616|40249287|39921809|33166863|40007376|39077924|39111148|40236520|37813392|32768960|36235791|32030812|37595703|37963500|39096078|39743314|32878940|38990322|37268080|39489235|39469735|36341884|37047818|39454900|39662680|37114791
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.015414258188824663	8	35748413|39711036|37812983|32388242|39522139|32458591|33977960|36674885
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.012552301255230125	6	31961657|32829810|39240066|34893241|39414216|34507115
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.011928429423459244	6	38541241|39814774|38158144|37162227|38502196|38279440
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.011764705882352941	5	39779016|39304038|39393328|34613687|40014754
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.009985734664764621	7	39053828|34731839|39775258|38284435|36384221|39547407|39353389
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.009389671361502348	6	33910711|39884091|38395288|38307430|40093892|34546478
COPD Treatment Cluster 36: Novel Hydrogel-Based Therapies for Enhancing Wound Repair in COPD Patients	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.009174311926605505	6	37495626|31967394|39437939|35427872|39414532|35083606
