Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.07531380753138076	36
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.046218487394957986	22
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.04430379746835443	7
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.043478260869565216	17
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.03777335984095427	19
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.037463976945244955	13
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.03525046382189239	19
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.033962264150943396	9
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.03294117647058824	14
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.028037383177570093	9
