Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.07531380753138076	36	35689756|34431469|33429138|39880663|34089812|34798159|36056846|34387509|32858812|38879745|35157952|39645053|34666140|38554854|33484322|32479019|36234943|34791616|35319397|32239248|40153080|34201193|39920914|36985672|39373768|37967776|39456798|32720965|33922258|36277602|32608443|35681262|34389445|32706597|32442587|32348217
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.046218487394957986	22	32220222|35364310|36309116|36216552|33359857|38085446|37837446|39191169|38908496|35964822|36948263|32188508|32581515|39800244|33164620|35840057|32417427|39528120|37348795|32169424|35533610|33019940
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.04430379746835443	7	36070347|32607088|37796050|38978754|33278781|32488316|40211339
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.043478260869565216	17	40064116|38824823|34313776|39999939|33361042|36480410|36270224|37855061|37972468|38280662|39910568|40133025|40164366|39374881|38588989|37211841|40122316
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.03777335984095427	19	39988000|40187625|34118340|33813012|39158618|32335286|36166943|34502333|38970468|37977305|39248484|39081702|36040703|33991638|37178982|39746410|37525053|34125438|39916958
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.037463976945244955	13	39706043|37331452|35663197|39577223|38564921|33444716|33171016|39927511|31972323|33463381|40254717|39958337|39796594
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.03525046382189239	19	34338577|39326132|35524480|39236777|39369923|38331123|33765553|32730884|38008273|32781258|38018571|39117021|40199409|39395768|32331305|31923541|34275090|35085745|38295660
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.033962264150943396	9	33232926|33242623|37689326|31894843|34602412|36990011|40067519|35717806|33065390
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.03294117647058824	14	36700214|33716079|35987413|38844985|36131559|33819504|38176665|37187105|39191027|39465158|37116728|39719227|35346812|33081675
COPD Treatment Cluster 37: Phytotherapeutic Approaches from Traditional Chinese Medicine for Inflammatory COPD Pathophysiology	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.028037383177570093	9	38754642|39846229|33556877|34274601|32004631|39528117|38844677|38810552|39142620
