Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.5357142857142857	240
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.028132992327365727	11
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.02584493041749503	13
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.021398002853067047	15
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.013377926421404682	4
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.010752688172043012	2
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.01050420168067227	5
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.010460251046025104	5
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.007984031936127744	4
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.007797270955165692	4
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.007547169811320755	2
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.00646551724137931	3
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.005780346820809248	3
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.005763688760806916	2
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.00558659217877095	2
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.0055248618784530384	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.005361930294906166	2
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0045871559633027525	3
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.0035714285714285713	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.003246753246753247	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.003115264797507788	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.003067484662576687	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.003003003003003003	2
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.002932551319648094	3
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.0024813895781637717	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.0022123893805309734	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.002207505518763797	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.001447178002894356	1
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.0011547344110854503	1
