Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.5357142857142857	240	32899023|37551029|33397150|32338605|37378760|39775442|32471278|32706089|35032828|33640537|32773257|32783196|35930300|33254548|36674700|34834939|32410772|33458853|33986127|35922738|32442317|35174512|32653522|35563204|37648016|34063964|33559733|34214123|34044300|34648616|34850411|32268515|32568282|32321540|32328850|33117359|32754159|32495940|34795200|33421734|38340168|32344313|32385712|32892311|33336773|32505070|33239231|34595937|32654078|38138990|37336193|34480616|33866132|33738273|36056109|32655581|32754161|34177967|38504586|32753145|33278358|36999691|36696245|33496060|32217117|32992282|38159532|32658005|34176789|34607230|32650197|37773574|33188794|33535790|35108568|34725309|32493514|34212899|33729332|32659175|33727703|34903319|34284539|33065330|32650004|32291137|33662680|36002086|35486310|32847033|32900588|33534108|32683221|33584719|32585295|40147575|33210302|34360732|33101291|32826431|32965395|32659271|33443616|34010070|33544007|35130235|35762551|33562030|32711925|33385878|35348444|33887367|33976534|32671455|32722927|36631280|32663575|32973818|39770027|35469984|36285849|33246694|34985303|32708322|34301378|32873175|34495950|39246209|33293273|32854262|32344708|32699149|34089819|32863274|34015982|34057871|33734043|33391477|33347987|40076279|33723711|34622440|34741071|35453563|33007455|33840847|33962573|32436460|32594204|37378783|32561873|36286945|32472655|34255300|32758873|32438620|32919216|37329322|32918295|34126316|36479480|32881062|33416933|35102208|36558048|32125642|36484974|34254465|32482538|34112203|33643316|33860869|35112841|33976430|32311668|34093569|34646263|32343968|33322757|38619217|34807957|33131470|33422363|32763660|32718560|34686643|32534337|36966750|32863034|32400074|35512732|33331521|32779108|38367571|34773448|34304092|34689597|33426096|34741187|34046038|37534622|39048773|36302537|34153851|32914732|33197762|32956644|35835255|34089357|33395417|33013911|34480250|32412158|36286708|34024514|36043749|32920514|35130238|39576127|34669001|32946870|33363088|35256581|34157054|32779213|36293257|34625144|32876222|32366740|32463221|35933528|32604797|32698440|38062689|32438473|34074585|36692461|32574273|34867978|35163769
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.028132992327365727	11	33241526|35657423|35076845|32574274|34641388|32503815|32758904|33259924|32441805|35240982|39746408
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.02584493041749503	13	32993173|36362409|33137649|37267066|32763818|32922174|36291677|34802171|33135607|33136210|32803479|33152616|35456990
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.021398002853067047	15	32598985|32415419|34536929|33147850|33446817|32518419|32345646|32321878|34452459|32558435|32811894|34015316|32809918|33256749|36780833
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.013377926421404682	4	38387105|33940506|33068263|33191206
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.010752688172043012	2	33584697|32693241
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.01050420168067227	5	39904198|34607309|33190277|33249673|32557557
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.010460251046025104	5	38340879|35866873|34959865|34201817|32613637
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.007984031936127744	4	36510448|37742737|34010739|37144896
COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.007797270955165692	4	34067243|35340244|35638433|36320055
