Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.128686327077748	48
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.0935672514619883	48
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.0390625	20
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.033797216699801194	17
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.028017241379310345	13
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.02594810379241517	13
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.014285714285714285	4
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.011160714285714286	5
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.010392609699769052	9
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.009985734664764621	7
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.008830022075055188	4
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.0076726342710997444	3
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.005865102639296188	6
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.0055248618784530384	1
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.0038535645472061657	2
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.003115264797507788	1
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.0030581039755351682	2
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.002793296089385475	1
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.002352941176470588	1
