Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.128686327077748	48	32500439|36922178|32960127|39521810|39361971|36796001|35128939|34647814|36451327|35271735|39230427|33122741|36180011|38309959|39212576|32543251|32314556|38822517|38108836|36824288|35899144|32165556|36137548|36458811|40128059|33030386|34650380|36594293|39472279|34450560|37814253|32997848|34254700|37778015|38703974|35922522|32101015|39213627|32631958|34494246|39701396|32020332|34697771|35234097|37120400|33944614|37442289|36646153
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.0935672514619883	48	34836793|39757092|39097197|37914418|32645931|36227895|36693354|36682536|38040120|37906995|40049087|36950897|37440737|39368875|32094077|32330461|31892115|37014057|34871316|37098022|38048888|33359650|40050080|40083442|34648729|38355013|35019757|38419021|33559139|37675792|35113452|36071121|32419859|33421348|35431916|32303671|33091038|35334435|37236766|35013387|37303017|39831585|37606821|35143150|33601237|37879449|34920650|38945277
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.0390625	20	34492401|33068153|33243107|34521557|37143844|34628125|35965053|39333660|35351571|32056720|35677830|39389905|34612086|32606638|33855061|33849780|35392868|37709918|33215956|36152685
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.033797216699801194	17	33353582|34334369|35732075|33220672|33393645|32086296|32534100|33320034|40194471|34909645|36796456|39060164|38615803|35933835|32104676|31960603|38037337
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.028017241379310345	13	39723595|38935672|39472071|33361022|34629091|39993847|39117364|39070350|37946855|36774404|33975404|35998604|39572602
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.02594810379241517	13	37840829|32119192|33678282|35861997|34326932|38599244|37591300|39059783|35620151|33518470|38659531|38591664|32308050
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.014285714285714285	4	37626867|38729529|39270696|38971168
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.011160714285714286	5	32993479|33025046|33461602|32809870|38075428
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.010392609699769052	9	34440542|35047517|32825819|33153991|36709298|36097591|37562659|36034870|34955638
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.009985734664764621	7	39870897|36286907|39560193|35633594|33376135|38565078|33238202
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.008830022075055188	4	38814040|32385061|37353327|33812852
COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.0076726342710997444	3	34795026|40195576|32738113
