Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.44862518089725034	310	38981775|35640538|37286144|35359933|34417725|38964663|37058197|36296682|33405022|32442900|33516246|33278745|40275820|37385350|39615608|33107964|35961059|36867963|31926033|32667139|35502478|39684792|39672028|34363661|32130903|38728880|39094830|34789266|39221499|33087130|34148214|34547676|34711765|32916201|36634888|39477466|34572022|34229025|34489926|32034062|39271550|37958812|34509933|35868215|33499800|33550977|34747270|36300567|38386136|39988092|33572986|39002520|39702430|32378121|35976486|32150861|32216542|40101425|33425216|37927177|35700359|33562339|33781148|33631477|37958978|36526079|33801489|37733253|39873286|32077170|34896108|31970667|34555642|38448976|33411245|38679216|34625655|38673747|33076443|37160526|33341247|37862963|39304107|36931207|32212901|34529964|38441214|32791262|39923070|33080467|33868221|36126608|33984046|32135404|32072483|34976232|38246200|33363370|39097202|36697994|37239854|33035625|34585328|33640615|35395466|37231168|38679045|37365417|38011768|36232513|38012509|37864272|32377730|37750203|32710722|34638992|36430912|34007172|37542647|38448729|33022295|39942725|39683782|37641874|33026572|33353235|34942361|37391648|39214270|36538849|39094544|33745920|31926126|32087283|36232519|34280524|33062068|37328678|33528726|35074479|32174788|32949596|32466385|40011296|37884185|39374567|36231069|38141409|37858697|37149267|33846780|40225565|33245889|37822185|38862817|34070429|36142890|39370294|37741355|33482151|35584533|34975893|34595732|38418961|32409991|37674023|32191733|39164713|35673563|32005522|34737419|34578323|35802283|34782991|37580648|31914683|32140998|35578342|32429516|34884906|37916541|32941923|39187397|36963302|33713324|36181630|35647928|32653559|32492189|35386022|33228193|35040583|38082266|35944463|33610668|35077842|34154945|38902941|36545833|32387718|33147167|35660086|38607022|34838764|33314354|35163002|37820939|39083422|32511256|31915845|35505051|33924540|33403844|37013428|32450430|32514862|38245915|35901587|32647973|32342246|33998879|40268467|36598820|39358233|35757108|39067314|35940437|33969544|34950148|38411637|34066125|37672840|34992132|34445126|32975758|37443330|32293473|32488176|34339837|34375779|32234516|33193354|32279622|38754782|38177535|39481514|35581519|32567988|37531781|32343995|35283097|33385413|34601074|32474900|33465355|32632775|33027640|38730498|39043772|38072038|39874781|39983262|33237822|32058932|33930348|32583667|38980500|33108666|34193687|34044183|32416562|36080256|38908079|37762251|32616311|32676889|32632112|32380977|34639071|39471200|39367768|39322063|34884829|35226341|37947648|32143069|36455674|38773462|36429017|33801492|39293313|32485857|32679167|35371065|40244185|37996729|39921000|39987632|39095095|36154879|35377817|38133658|32992950|39377704|34773065|37245276|33253369|33386490|35243913|32361654
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.28761061946902655	130	36567361|39954745|36497081|39808652|32056076|35259016|39098396|39796258|34654450|33219523|32529463|35456966|37776559|37838007|35739410|34333049|37069416|39757615|32362228|34991625|39062586|35927581|34118718|33216029|33639210|34842189|31907999|39701548|33161139|32707231|34432256|32124682|34585992|39331111|38255772|34746315|39491747|32657175|37782433|35750198|36145255|33560845|36129673|36232314|37298639|40274975|38466012|37722706|35081152|36057709|35294663|38610019|37552127|32325119|38294608|37511328|34468817|35986874|40253769|34600048|32652199|34340010|33339351|39976587|35881170|33205384|34953289|34357520|33540568|40222965|37150266|33096140|39058809|34381308|36899831|34468933|32169474|39057433|33467075|39435853|33805709|33220272|34326273|35327555|32739008|33946176|33793881|34517113|36614325|33557250|40233449|38908083|32660121|35945306|38501544|34071951|40215773|34445767|34251287|34603320|37542020|35520949|33637884|36536076|38611758|33164162|33852912|32564332|36233068|32294652|32369955|32353686|39800228|33874954|34169405|36200161|38428725|32407924|34070609|32170713|32352165|35571563|32016638|32721448|32105735|35587314|32398649|31973106|34606547|32029703
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	0.27071823204419887	49	39059506|38064909|32325074|33290967|35506370|38897132|34666303|37924960|34571049|38674048|37321286|32980493|39591951|37314479|39983845|38474387|37414224|39038630|34971677|35357329|37977808|32378057|34089815|38795698|39088104|33453676|32399718|37952898|38244954|34119623|32120979|31891744|36175917|35940075|38679081|34087360|35504201|33669121|36126456|39197544|34563566|34808271|37559243|34732633|36758932|34280460|36813041|36176016|35947354
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.08064516129032258	15	35972671|32929691|32410045|34219266|37147420|32816354|33351536|34353430|34474352|33045576|37300646|40112603|35065245|34439904|35779192
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 13: Hyperglycemia-Induced Oxidative Stress and Inflammation in Diabetic COPD Comorbidity	0.04150943396226415	11	39529444|38479183|33815384|32077986|32067945|36002781|35972643|39692938|33582150|33143871|38969091
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.02584493041749503	13	32354571|33038082|39029401|36064593|40152901|33208075|39369850|32696271|37414288|33809987|37182274|32279140|38290404
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.021406727828746176	14	37551787|39392551|33460614|33559150|34437989|37935390|36527567|36930982|38401463|32964315|32565338|33792938|32833191|36615301
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.019971469329529243	14	33341737|35679651|33480040|34436268|36031090|33182028|39903351|40266449|37488684|39775244|33321294|39564147|38346718|33595954
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.018907563025210083	9	37607662|34162132|33359374|37129876|40169548|34069940|33013859|38788009|33687402
COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.018404907975460124	6	33094540|33568652|34779255|34360951|33389746|37174675
