Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.09207161125319693	36	34811378|39652023|38599547|39571867|35167728|39542256|37119468|34561552|38187907|36509311|37883686|34165483|39894462|35080860|37530416|38849841|34446131|39946544|36099790|39999302|39778853|36088676|39836501|39159858|39713221|40118115|39270015|35583915|39893893|36442537|32101146|37481805|39849453|34672317|35690763|39307441
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.08357348703170028	29	38499190|37169852|36549391|32314997|35257950|33358940|32929345|39721076|37399608|39986476|38794825|37620556|34999090|34346410|34609399|32457416|34298057|39812806|33866463|35447349|35929425|36219731|35639392|39061065|39339421|32805983|39437581|37544347|33881414
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.08227848101265822	13	33383312|35757759|33300149|35499816|36768193|33500729|38949426|36474527|40321804|38587870|35467472|39569064|40213673
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.06512605042016807	31	39796102|32614469|34010755|32032600|36863722|39645203|39568244|39905487|39722373|35247497|31896516|39754546|39890430|37277087|36141952|39735324|39169999|34516951|34067503|35435328|39499104|39409023|32697950|39264298|33860447|40033968|38646646|33887284|37821795|39185348|33872001
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.062034739454094295	25	34749294|37469217|36222569|38090362|39726077|39448903|35661593|38804911|38987704|38769551|38321981|38766660|39033977|35467469|39986475|40146040|35085700|33205596|39902477|35282742|38038124|38821434|36055613|39353498|39163825
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.05991440798858773	42	39695736|40213650|39467057|38252744|35307508|38083984|38508529|35044010|37535805|38278368|39638531|34387081|36583377|38422668|39082084|38547831|36252038|37051938|37936120|39849788|37821897|34653934|33705943|38870883|35697319|39794773|38617798|37099675|33972981|33835672|38852674|36037505|38342241|36515218|35459439|34235597|39742921|38342670|40114391|31982590|38019400|39965425
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.057803468208092484	30	34008348|35220029|33357860|39535448|34609010|34287978|39173953|34109950|36237989|36708854|38308067|34533200|35929253|39422161|34045459|37100316|38580026|32512936|39153642|36500444|33503591|32048108|40013409|33112303|37469233|35261246|35041912|39831463|36045429|34071200
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.0536779324055666	27	38602387|39648484|34712046|35268651|39236581|35216054|32707950|39617356|32525012|32067382|32283213|34978415|40187028|34903236|33389218|33231230|39614566|32554130|37178241|35403559|37597094|34423042|39332462|39490789|33065219|39415593|32380825
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.050078247261345854	32	35580692|33026388|38037103|36951721|38431929|33340760|39828670|37817403|40065392|37524663|38634191|39778982|38546719|38224533|35617782|37975742|34500851|37797890|38901540|38788565|39606561|36239131|38307376|37653677|36606731|39884436|37584343|33528239|35787941|34457112|38095436|38738646
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.04861111111111111	14	39838757|32754262|39122736|38885954|39437969|38952270|40239965|35988311|39899347|32507170|35203318|38563392|38959219|39648573
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.04823747680890538	26	40043963|32348149|40134348|37596598|32196449|34057171|32009785|37463480|39439396|40106686|35726761|39905851|35664066|37741461|36400133|36863680|40096675|39265673|37990919|37039159|36805534|39707422|36190132|37271027|39032536|34188471
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	0.042801556420233464	11	37726323|39921035|36804660|39225479|38935462|35547753|40094857|39484792|39983927|35489544|36857913
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.03058103975535168	20	32898592|38616303|36068741|34299157|32694530|35929313|40049503|32986447|34294352|38711511|39083647|33222771|36041710|35565857|34599707|39986769|34977993|36319828|34174418|38387712
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.02922077922077922	9	39622392|39924048|39342648|33640714|40032012|37574157|36315421|33200765|36066550
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.028011204481792718	10	38767388|32518242|39970589|39243718|35563293|39776808|39653289|34473471|40238180|39585320
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	0.024922118380062305	8	38402260|35597383|34169439|38127247|37029662|38092091|35929737|33588861
COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	0.02170767004341534	15	37406950|35027828|34747298|34597036|38519052|40073744|39930244|37666103|37387550|34510724|38552289|32893402|38482944|39786699|38886466
