Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	0.09651474530831099	36	37847730|39515624|32336146|35390329|35593967|39033447|36424599|33428233|33038523|39543228|38562620|37220188|33169929|33371099|35848667|35075255|37491073|39257264|37413976|38617018|33273817|39726933|33301965|33615538|36287814|34625179|32245291|33093119|36084011|33960534|35186234|35271711|34013748|39586664|32000146|35392737
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	0.07947019867549669	36	38497202|37907619|35740433|39600310|37328656|36185895|38471463|33879703|35307030|36133737|37192019|35686213|38803869|34869399|37146372|34873542|39312330|32075629|35743436|39268318|40186341|36522751|33725881|34367906|38306339|32601330|34367840|37355971|36473925|39250789|39371919|36355958|35832833|39286369|32617002|40128039
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 15: Sleep-Related Pathophysiology and Environmental Exposures in COPD Etiology and Progression	0.05078125	26	39483551|38551880|39880301|35965050|36629206|34404870|36874266|35722753|36155471|34595967|35759776|34607419|32606651|31965862|32764913|36647057|34821171|32584165|34696861|37661712|35571773|34945107|38521955|34375174|32073290|37660550
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 7: Congenital and Interstitial Lung Diseases as Modifiers of Emphysema and Fibrosis in COPD	0.0499001996007984	25	33689161|32746797|38056846|33546140|39213987|39906537|32996153|34588408|39369401|33139219|35308822|33637075|36852622|36094471|35801120|37826872|37624745|39830373|40300350|37517655|33636019|35203345|32145887|37264374|39644582
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 29: Racial and Socioeconomic Disparities in Ambient Air Pollution and COPD Burden	0.03926096997690531	34	36585669|35065813|38237883|33968949|35716603|35443464|38944703|36694055|36912244|34575696|34631729|34892818|35070230|38412881|34964574|38236192|37267605|33321048|36774462|33925463|34886719|36262999|35833098|38443149|39497385|38438569|32764914|34553282|40180197|36376854|37954830|32754944|39836055|39638416
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	0.021505376344086023	22	36009496|40046916|34325599|39637433|33087693|40298164|38513597|35614345|39412137|38476031|36922031|36837585|33381510|35191295|32948976|35159156|38844491|33333922|38902794|34972920|33434645|38973373
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.021442495126705652	11	37443504|38834656|39000502|32312273|36383685|37947596|35151643|39270682|34559035|36096691|37010196
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.010775862068965518	5	35130676|32366132|38010386|39465785|36830583
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	0.007142857142857143	2	32456479|32997525
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 19: Adipose Tissue Inflammation and Metabolic Dysfunction in the Pathogenesis of COPD	0.006493506493506494	2	40290050|34321534
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.0033444816053511705	1	34946260
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.002793296089385475	1	32891175
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.0024813895781637717	1	37608254
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.002352941176470588	1	32122693
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.0021008403361344537	1	31915768
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.0019880715705765406	1	38494828
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.0019267822736030828	1	37238744
COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.0014265335235378032	1	38722501
