Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.12987012987012986	70
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.0802675585284281	24
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.04926108374384237	20
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.021021021021021023	14
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.01939655172413793	9
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.01557632398753894	5
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.010752688172043012	2
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.008379888268156424	3
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.005706134094151213	4
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.0056022408963585435	2
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.003067484662576687	1
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.002881844380403458	1
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.0024813895781637717	1
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.002352941176470588	1
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.0021008403361344537	1
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.0020920502092050207	1
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.0019880715705765406	1
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	0.001949317738791423	1
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.0019267822736030828	1
