Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	0.12987012987012986	70	34171421|39521597|37012889|39521601|32456601|39653295|34774224|33051163|32194176|36514874|35959163|35199533|34021361|36916302|33806061|39847467|35270584|39427739|33763844|33958059|37274062|36411630|33121689|38945499|35855677|36558408|32239308|35263537|32250220|37249518|34329709|32772699|35790702|32937210|36967304|36741232|34791293|37859409|36039398|40164094|33666891|32598943|35098774|32418407|33774860|39617190|33086075|33858883|38475799|36702073|34601192|32768972|37718525|34638616|34139789|33300552|37289118|38574740|37836478|37318737|34941109|39203033|38528541|36012393|37738641|37298505|33135914|32778960|38255764|33394234
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.0802675585284281	24	33191310|33522723|34032782|35075155|35217557|37577818|32683839|34866503|37660747|34183315|37658984|38329599|39087667|34564689|32026499|33252119|36389693|35296643|39859084|37428414|33595782|35663996|35529850|35945034
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.04926108374384237	20	32249629|37527838|31930227|36921116|39739648|31961437|37842919|38613066|35806031|39674397|38599548|34941734|33819198|35633906|39104061|38155971|35660024|36704107|36161855|38442454
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.021021021021021023	14	37350665|35208599|34894004|33761677|36719018|37287984|32633252|36189238|39919009|32377946|32438064|34120561|35470598|31941858
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.01939655172413793	9	33569968|34083575|39869163|38065857|35879875|35982420|38158206|37621757|35872075
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.01557632398753894	5	32880812|39612051|38138595|39660571|38847300
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.010752688172043012	2	33667791|37740137
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	0.008379888268156424	3	32308077|38963120|33475968
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.006329113924050633	1	39692644
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.005706134094151213	4	38583685|32661765|34626681|33288852
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.0056022408963585435	2	35048663|38205716
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.003067484662576687	1	32598727
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.002881844380403458	1	32292048
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	0.0024813895781637717	1	37386288
COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.002352941176470588	1	34647866
