Treatment	Cause	Edge Weight	Shared Publications
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.5552941176470588	236
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.03138075313807531	15
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.027777777777777776	8
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.021406727828746176	14
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.021398002853067047	15
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.019267822736030827	10
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.0189873417721519	3
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.017892644135188866	9
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.012605042016806723	6
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.012315270935960592	5
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.012269938650306749	4
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 32: Autoimmune and Autoinflammatory Conditions as Indicators of COPD Risk and Disease Progression	0.012012012012012012	8
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 35: Cardiovascular and Metabolic Comorbidities as Modifiable Risk Factors for COPD Exacerbation	0.008620689655172414	4
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.00782472613458529	5
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	0.006688963210702341	2
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	0.00663716814159292	3
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	0.005376344086021506	1
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	0.002881844380403458	1
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	0.0025575447570332483	1
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	0.002232142857142857	1
