Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	0.5552941176470588	236	39818092|35006038|34581418|38172219|40158831|33525403|34397197|39000476|35720176|38594379|36292928|39032473|32571120|34314383|38279067|32544868|40063187|34162135|32679548|33220376|39119340|32330842|31905943|39313956|35565961|36729361|39683963|38016656|39031325|39032661|39365309|36326098|38906008|38556870|32932917|38880219|34998030|39293315|37414141|33513930|39662606|34299118|38159374|34841788|33645388|39033661|32920513|39094711|39233164|34126071|38612578|38426932|33081840|33433016|39827243|39942620|32126244|39558145|35269651|40005020|32737987|38368838|39278850|32231089|31997734|35499185|36158872|39557312|39452887|32558003|40119084|34196345|39638770|39684446|38037751|39519643|35505451|38314445|39851511|39519149|34830245|39766222|38832986|33744298|32235696|36555642|34763093|35910763|33743316|34834106|32833275|39793224|37002572|39592463|37935353|34511913|35328573|37652708|38675613|32540219|37975541|37123132|38431222|40209307|32945415|32865903|35056807|38904694|33857815|33812252|37830254|34687744|35478358|39608171|34575899|38761783|39943799|34681651|33412493|34822493|35209963|31974519|38749332|37159798|32393082|32121131|35266720|38134557|32033291|38356236|37043584|38891824|38779681|36916091|39966154|34638528|34088889|34518008|34641629|34153674|39684233|40016629|39254877|38377853|32138302|39576422|37183468|32713186|36030991|34058118|32910436|38255849|33482042|32359335|32183539|38532572|33757812|38139164|36286472|36266613|37513335|39340847|34311535|34641358|32479135|32302925|37921124|34628169|37108534|34740599|40184813|32768955|31930527|34575836|34877758|37072847|39821787|32220586|32707897|38917521|31965609|33397469|39630665|34583123|32992719|32486363|38621336|35563251|36967633|40020462|38891997|36008966|39919329|32062841|35608634|32908937|39248031|32515468|39090783|39406369|38203435|32419031|34361003|39177922|36442232|39651943|34293351|35487815|32244969|32075957|33712331|38657365|37307961|37983083|35634683|34025642|32889707|33069927|32183404|33938439|37490123|37479017|37119762|32867396|34269031|31918061|36768424|40020947|32574015|35008979|37909544|40112600|34204433|38495889|35218182|38704496
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.03138075313807531	15	32486036|32610574|38823660|38474692|34445138|33368702|39043105|32512223|32575468|38542915|37047066|38139104|39275081|36184462|39324175
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 25: Wound Healing Dysregulation and Tissue Remodeling as Systemic Influencers of COPD Pathogenesis	0.027777777777777776	8	32668794|33628826|34534572|35484750|32456369|39303539|34008753|36835248
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.021406727828746176	14	31940694|36373505|33128423|39115559|35955937|33706053|36770886|32668966|39380283|36549807|39966883|34371956|32109455|34361560
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	0.021398002853067047	15	38409467|32251674|34299012|33133061|40157005|39252632|32246052|34615968|39275884|32308089|39684557|35882784|34944487|35163291|36527389
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.019267822736030827	10	37553989|36769042|31968661|32998341|40056166|33357878|32438694|31927505|38849562|38284184
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.0189873417721519	3	32506228|33727132|38629904
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.017892644135188866	9	36228953|38460363|40072672|34664551|39452865|39202808|38132109|36180414|39590768
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.012605042016806723	6	34193671|35583493|36796014|38792254|32033005|34571920
COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	0.012315270935960592	5	32712375|36057224|33205485|32411145|36908272
