Treatment	Cause	Edge Weight	Shared Publications	PMIDs
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	0.38493723849372385	184	32392837|36234818|32282204|38843802|36234829|33789119|36986236|37574856|33671016|39769960|34205060|38416335|32172496|38474661|35163950|34852065|38613064|37642535|39030384|36076615|40004039|32770524|39842554|36284975|32456047|33156477|32442574|39942574|39752039|32723250|34297870|35306173|32824755|32232632|34349086|34531939|34349875|39590800|37446907|34817360|34332066|38626712|37110668|36144796|38554388|32150805|33809398|33244664|36286430|32290371|32462026|36876517|35268819|38067450|39007134|39923147|35932440|35734996|32067484|39083966|37454777|37694378|38243931|33167510|32664524|37980870|37299029|35164229|34061285|37179510|32858815|35237379|35010903|33809895|32557335|37570594|32120971|34641376|32530046|33419097|32924074|35572728|32557174|36542210|36500601|35251478|33945799|37639162|31907501|32268590|36789814|33860977|36364031|39903388|35956745|32093002|34544288|38092696|36565439|39590762|39203029|31964945|38507018|34885697|37836717|36068780|32144397|35972596|33037469|33152933|39153554|37950820|32129972|39029914|36060147|38731410|36645154|37924786|32617790|33389870|36914320|33121016|33233276|35208994|36235007|39077790|32872418|32446898|36008914|39339310|34887836|37447289|36771175|38132963|36500283|35583855|36111166|38748620|33452968|35651017|32403061|35272125|39032480|39203035|34915367|35614139|32298660|33646486|34235954|35780308|34684831|35565963|36789808|39550806|32519899|37764349|33238843|36615222|36399461|35034885|35458576|37354439|36139047|38893547|38791434|32736058|35077962|36479817|39966535|39313643|36431841|32304294|39312694|32545512|39630281|34681798|34395619|40054700|36014359|32294957|38693725|34201683|39818094|38003415
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	0.14397496087636932	92	37357715|32179241|36541264|36541068|35716002|37991201|34111725|37010719|32276345|39745481|38257152|35947833|38953232|34789018|37098389|32472334|38703207|34078758|36134855|38338880|33358696|39097895|38635559|35239112|33027057|37513248|38084747|33383701|34273640|37513462|33301711|36228216|35554805|34613566|32867965|39322224|32248216|39000345|38650159|35219795|38508716|32805323|38722494|37843082|37499997|33605470|33307839|34554588|32709052|39724794|38308792|38741394|37864893|33038581|34629028|35629999|32097704|34768954|38308833|38761959|39791586|32727104|38339077|35526601|36014583|38565370|34400143|32006559|33513835|35163873|38940848|35469380|40225868|32986497|33169693|36986093|36336343|36903444|32865913|35561273|40156783|39411871|35347733|37042920|32534508|38365877|39459332|37249771|32450524|36142712|35889805|32654519
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 6: Intrauterine and Chronic Inflammation-Driven Dysregulation of Anti-Inflammatory Responses in COPD Development	0.13025210084033614	62	33173971|33528076|38673942|38232858|32803664|34419798|38388989|32235914|40286093|32664577|32392744|35684573|33422907|35447916|33433362|32050623|39810338|38542782|32803665|38769154|32046692|35332533|33080469|38211986|35247154|37202035|32707497|37950803|37222443|34473330|39206704|38818920|32083866|35176423|34269666|36651875|36411631|37242259|33335138|38165461|34739501|35566388|33534103|38334860|37446655|36547936|34641516|36734911|39796283|35279599|39275340|32906577|38641074|38984571|34374653|37795905|36988555|39404108|37888459|38676413|36184707|35631173
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	0.12232415902140673	80	32083508|34445584|34600695|35292934|35608743|38845567|39474636|34299094|32899783|36740983|35194856|32200535|38367124|35897881|35209125|33641623|34302007|33436673|35889472|34307692|39827883|32780565|32285384|38870882|33138217|40122485|36727417|34357970|33388321|37669453|36421993|32141011|33012978|39126574|39125867|32759721|39992592|32534512|38949232|34745422|34360922|37029328|34599704|35565724|34119929|39671724|32377166|33084638|39018291|36918444|35744785|32240748|32260414|36282372|33339881|33068759|34309035|32933892|40190537|33539940|34948440|37106372|32712132|38267609|33122131|32007706|35941980|32920137|37204915|36898250|37356003|36871789|37103384|33893724|35848908|36826724|34369317|38783718|39940368|38878490
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 18: Unraveling the Molecular Interplay of β Adrenoceptors, Gasotransmitters, and Sulfonation in COPD Pathogenesis	0.10139165009940358	51	36374948|34735909|33649898|36421718|32555127|34361655|32966837|33593253|33182470|38731463|38909829|32599705|34065427|35979671|37175132|34392085|34631888|34022313|36939191|32750400|32044704|32183470|34657071|34014349|37894572|32941458|33092416|39142249|39471979|32084495|38744071|33142407|36971326|33576206|31954739|32012770|36914321|36746775|36200742|34498144|32486470|38528700|35458665|32910315|32531998|39755267|39260387|33761590|32485283|34021831|32105571
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 22: Periodontal Disease as a Source of Systemic Inflammation and COPD Exacerbation	0.10126582278481013	16	33439867|34410507|35945838|34577123|39342169|34833990|33308100|39907951|38998994|32335913|38789533|35028318|38336696|36677905|39329499|33430257
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	0.06748466257668712	22	38777789|34592918|34939529|33353211|34541749|34058437|37597323|33682557|33274874|37707992|33008039|32942970|38412690|31947713|33379302|37623703|35164411|32027979|36056995|31985381|36222345|36501143
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	0.05973025048169557	31	38346546|33084091|35567708|34789561|33751248|35378275|32686017|34638895|33043490|37446627|37594079|32914383|38955793|32640351|35944468|36500633|33413289|32097663|37175079|34281647|32016828|35898475|34639090|32297069|39629503|35806065|33803357|39849028|32881525|34444754|33761574
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 5: Environmental Toxicants and Cyclooxygenase Inhibition in Gastrointestinal COPD Pathways	0.04672897196261682	15	33233494|33965725|38842560|33496125|35333148|37921959|39098350|36008576|32757682|32950497|35340213|33787119|38467913|37902784|38901206
COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	0.03081232492997199	11	32650478|33198532|37169909|34250612|39504859|33027883|32443593|39910080|37999381|34885934|38522313
