Author	Treatment	Cause	PMID Count	PMIDs
Gaber El-Saber Batiha	COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	9	35032828;35922738;34480616;36999691;35486310;35762551;36484974;36043749;34867978
Hayder M Al-Kuraishy	COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	6	35032828;35922738;36999691;35762551;36043749;34867978
Peter J Barnes	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	6	33326912;32336666;32057805;35763349;34075087;35027472
Cheng Huang	COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	6	33756231;34902361;34974135;34619344;37401768;35792270
Javad Sharifi-Rad	COPD Treatment Cluster 9: Bioactive Phytoconstituents for Pulmonary Fibrosis and Inflammation Reduction in COPD	COPD Cause Cluster 10: Natural Bioactive Polyphenols and Flavonoids as Potential Therapeutic Agents in COPD Prevention	5	34531939;34349875;34817360;35237379;39630281
Jakub Fichna	COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	5	34444876;32835668;33219923;32370215;37108188
Amirhossein Sahebkar	COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	5	38141926;38470222;32126319;36045525;32368966
Xiaoyan Wang	COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	4	32700754;31981745;37868958;38744176
Guang Liang	COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	4	40037062;37130331;39644263;38722184
Lei Yang	COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	4	38728880;40101425;32087283;37858697
Jae Youl Cho	COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	4	35011425;34684856;32357521;34641616
Mi-La Cho	COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	4	34855756;37079558;36427299;36138477
Maria Gabriella Matera	COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	4	38419021;33559139;37303017;37879449
Mario Cazzola	COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	4	38419021;33559139;37303017;37879449
Marwa M M Refaie	COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	4	38224346;36242756;34800596;34510376
Chi-Feng Hung	COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	4	39818092;35565961;34681651;34361003
Sang-Hyun Kim	COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	4	32679548;34641629;34153674;32768955
Ji Li	COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	4	34763093;33743316;39919329;31918061
Yahong Chen	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	4	35490984;35340205;36339716;40088608
Jiansheng Li	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	4	35814272;34773846;36097398;35993327
W S Fred Wong	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	4	38561090;33017650;36167278;32434654
Philip M Hansbro	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	4	36176212;34133911;34818056;37963864
Jiansheng Li	COPD Treatment Cluster 34: Synergistic Effects of Traditional Chinese Medicine and Conventional Therapy for COPD Management	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	4	37492573;35216533;37499344;34600177
Jun Li	COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	4	33756231;34902361;34974135;35792270
