arxiv_id	title	date	categories	primary_category	url	pop_rel	nn_sim	judged	novelty	fused	needle
2608.09222	Reading Cognition as Decisions Unfold in Words: A Factorized Inverse Decision Model	2026-08-10	cs.CL;q-bio.NC	q-bio.NC	https://arxiv.org/abs/2608.09222			False			False
2608.09399	Ancient DNA in motion: Studying past human mobility and interactions by integrating archaeogenetics and archaeology	2026-08-10	q-bio.PE	q-bio.PE	https://arxiv.org/abs/2608.09399			False			False
2608.09460	Flow-based conditional cardiac anatomy generation for virtual cohorts	2026-08-10	cs.CV;cs.LG;q-bio.QM;q-bio.TO	q-bio.QM	https://arxiv.org/abs/2608.09460			False			False
2608.09773	Graph Analysis of Neuronal-Culture Connectivity Derived from a Reservoir-Computing Model	2026-08-10	physics.comp-ph;q-bio.NC	q-bio.NC	https://arxiv.org/abs/2608.09773			False			False
2608.08375	Algebraic formulas for first-passage times of Markov processes in the linear framework: generalising the work of Hill and Kac	2026-08-09	math.PR;q-bio.QM	q-bio.QM	https://arxiv.org/abs/2608.08375			False			False
2608.08571	A General Theory for Phenotypic Association in Biological Systems	2026-08-09	physics.bio-ph;q-bio.MN	q-bio.MN	https://arxiv.org/abs/2608.08571			False			False
2608.08816	Physical limits to concentration and gradient sensing by perfect monitors	2026-08-09	math.MP;math.PR;math.ST;physics.bio-ph;physics.class-ph;physics.math-ph;q-bio.CB;stat.TH	q-bio.CB	https://arxiv.org/abs/2608.08816			False			False
2608.08916	Approximate Analytical Protein Distributions for the Three-stage Model of Stochastic Gene Expression	2026-08-09	q-bio.MN;q-bio.QM	q-bio.MN	https://arxiv.org/abs/2608.08916			False			False
2608.08958	Idea Search: Guiding Tree Search with Ideas to Explore Diverse Scientific Methods	2026-08-09	cs.AI;cs.LG;q-bio.GN;q-bio.QM	q-bio.GN	https://arxiv.org/abs/2608.08958			False			False
2608.07865	MAPK Pathway Activity and Heme Biosynthesis Gene Expression in IDH-Wildtype Glioblastoma: A Purity-Adjusted, Discovery-Validation Analysis	2026-08-08	q-bio.GN;q-bio.MN;q-bio.QM	q-bio.GN	https://arxiv.org/abs/2608.07865			False			False
2608.08074	Low-frequency output fluctuations in an open exclusion process with particle pausing	2026-08-08	physics.stat-mech;q-bio.SC	q-bio.SC	https://arxiv.org/abs/2608.08074			False			False
2608.08165	Predicting blood clot growth from sparse post-onset measurements with latent neural differential equations	2026-08-08	cs.LG;q-bio.QM;q-bio.TO	q-bio.QM	https://arxiv.org/abs/2608.08165			False			False
2608.08173	$\texttt{DisMorph}$: learning to disentangle technical distortions from true biological change	2026-08-08	cs.AI;eess.IV;q-bio.QM	q-bio.QM	https://arxiv.org/abs/2608.08173			False			False
2608.08206	Sensorimotor features of a reversal learning task bias decision behavior without disrupting individual difference structure	2026-08-08	q-bio.NC	q-bio.NC	https://arxiv.org/abs/2608.08206			False			False
2608.08366	VOICE: A Vision-Omics Foundation Model Integrating Direct and Retrieval-Based Prediction of In-situ Single-Cell Gene Expression	2026-08-08	cs.CV;q-bio.GN	q-bio.GN	https://arxiv.org/abs/2608.08366			False			False
2608.06779	Genotypic Triggers: Exposing Pharmacogenomic Blind Spots via Host-Specific Backdoors in Generative Antimicrobial Peptide Models	2026-08-07	cs.AI;cs.CL;q-bio.QM	q-bio.QM	https://arxiv.org/abs/2608.06779			False			False
2608.06824	Control-Anchored Residual Flow Matching Conditioned on Gene Geometry for Virtual Cell Perturbation Modeling	2026-08-07	cs.AI;q-bio.MN	q-bio.MN	https://arxiv.org/abs/2608.06824			False			False
2608.06998	Simulating is not always understanding: When model complexity obscures biology	2026-08-07	physics.bio-ph;q-bio.MN	q-bio.MN	https://arxiv.org/abs/2608.06998			False			False
2608.07092	International Transfer of Stochastic Cortical Self-Reconstruction	2026-08-07	cs.AI;cs.CV;cs.LG;q-bio.NC	q-bio.NC	https://arxiv.org/abs/2608.07092			False			False
2608.07250	Artificial Intelligence Can Match Domain Experts in Evidence Extraction and Critical Appraisal of Microbial Oncogenesis Research Publications	2026-08-07	cs.AI;cs.CL;q-bio.QM	q-bio.QM	https://arxiv.org/abs/2608.07250			False			False
2608.07344	muxvizpy: a Python library for the analysis of multilayer biological networks	2026-08-07	q-bio.MN;q-bio.QM	q-bio.MN	https://arxiv.org/abs/2608.07344			False			False
2608.07393	FedDOSE: Federated Learning Framework Decomposing Site Effects for Modeling Brain Dynamic Functional Connectivity	2026-08-07	cs.LG;eess.SP;q-bio.NC	q-bio.NC	https://arxiv.org/abs/2608.07393			False			False
2608.06779	Genotypic Triggers: Exposing Pharmacogenomic Blind Spots via Host-Specific Backdoors in Generative Antimicrobial Peptide Models	2026-08-07	cs.AI;cs.CL;q-bio.QM	q-bio.QM	https://arxiv.org/abs/2608.06779			False			False
2608.06824	Control-Anchored Residual Flow Matching Conditioned on Gene Geometry for Virtual Cell Perturbation Modeling	2026-08-07	cs.AI;q-bio.MN	q-bio.MN	https://arxiv.org/abs/2608.06824			False			False
2608.06998	Simulating is not always understanding: When model complexity obscures biology	2026-08-07	physics.bio-ph;q-bio.MN	q-bio.MN	https://arxiv.org/abs/2608.06998			False			False
2608.07092	International Transfer of Stochastic Cortical Self-Reconstruction	2026-08-07	cs.AI;cs.CV;cs.LG;q-bio.NC	q-bio.NC	https://arxiv.org/abs/2608.07092			False			False
2608.07250	Artificial Intelligence Can Match Domain Experts in Evidence Extraction and Critical Appraisal of Microbial Oncogenesis Research Publications	2026-08-07	cs.AI;cs.CL;q-bio.QM	q-bio.QM	https://arxiv.org/abs/2608.07250			False			False
2608.07344	muxvizpy: a Python library for the analysis of multilayer biological networks	2026-08-07	q-bio.MN;q-bio.QM	q-bio.MN	https://arxiv.org/abs/2608.07344			False			False
2608.07393	FedDOSE: Federated Learning Framework Decomposing Site Effects for Modeling Brain Dynamic Functional Connectivity	2026-08-07	cs.LG;eess.SP;q-bio.NC	q-bio.NC	https://arxiv.org/abs/2608.07393			False			False
2608.07632	JUMP-lite: Compact, reproducible benchmarking of cell representations	2026-08-07	cs.CV;eess.IV;q-bio.QM	q-bio.QM	https://arxiv.org/abs/2608.07632			False			False
2608.07777	Nuclear mechanics controls the temporal dynamics of cell unjamming	2026-08-07	physics.bio-ph;q-bio.CB	q-bio.CB	https://arxiv.org/abs/2608.07777			False			False
2608.07790	Permutation theory governs long-term dynamics of critical Boolean networks	2026-08-07	physics.bio-ph;q-bio.MN	q-bio.MN	https://arxiv.org/abs/2608.07790			False			False
2608.05481	From Local Learning to Global Prediction Through Layered Surprise Cascades	2026-08-06	q-bio.NC	q-bio.NC	https://arxiv.org/abs/2608.05481			False			False
